Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,1727.0,1569.0,1585.0,1709.0,3888409.0,1251.64404296875
2009-01-05,1782.0,1669.0,1734.0,1712.0,4885954.0,1253.8414306640625
2009-01-06,1832.0,1695.0,1729.0,1832.0,5444022.0,1341.7275390625
2009-01-07,1795.0,1685.0,1791.0,1725.0,7287635.0,1263.3623046875
2009-01-08,1688.0,1541.0,1660.0,1623.0,7554481.0,1188.6590576171875
2009-01-09,1635.0,1471.0,1625.0,1490.0,11061621.0,1091.2523193359375
2009-01-12,1508.0,1431.0,1474.0,1451.0,5593445.0,1062.689208984375
2009-01-13,1447.0,1376.0,1422.0,1429.0,8228871.0,1046.5765380859375
2009-01-14,1454.0,1259.0,1454.0,1293.0,9075464.0,946.9725341796875
2009-01-15,1336.0,1240.0,1289.0,1275.0,11590893.0,933.7896118164062
2009-01-16,1389.0,1306.0,1312.0,1371.0,9478963.0,1004.098388671875
2009-01-19,1426.0,1290.0,1401.0,1334.0,6619279.0,977.0003662109375
2009-01-20,1404.0,1286.0,1323.0,1306.0,8138538.0,956.4937744140625
2009-01-21,1341.0,1258.0,1292.0,1315.0,10940018.0,963.0850830078125
2009-01-22,1385.0,1266.0,1350.0,1269.0,8395487.0,929.3952026367188
2009-01-23,1284.0,1210.0,1258.0,1270.0,10218849.0,930.1276245117188
2009-01-26,1378.0,1255.0,1270.0,1363.0,8675673.0,998.2393798828125
2009-01-27,1374.0,1300.0,1348.0,1346.0,5500435.0,985.7888793945312
2009-01-28,1436.0,1331.0,1361.0,1420.0,9210740.0,1039.9852294921875
2009-01-29,1385.0,1327.0,1385.0,1339.0,6473698.0,980.6619262695312
2009-01-30,1347.0,1246.0,1342.0,1266.0,8961178.0,927.197998046875
2009-02-02,1254.0,1214.0,1250.0,1240.0,6808617.0,908.1561889648438
2009-02-03,1292.0,1188.0,1249.0,1283.0,6795231.0,939.6484985351562
2009-02-04,1423.0,1284.0,1304.0,1402.0,9595350.0,1026.802490234375
2009-02-05,1426.0,1321.0,1360.0,1400.0,7662601.0,1025.33740234375
2009-02-06,1505.0,1393.0,1416.0,1487.0,9449816.0,1089.0550537109375
2009-02-09,1527.0,1440.0,1483.0,1502.0,5974093.0,1100.040771484375
2009-02-10,1478.0,1400.0,1475.0,1411.0,7111232.0,1033.3939208984375
2009-02-11,1424.0,1348.0,1390.0,1377.0,11714554.0,1008.4928588867188
2009-02-12,1363.0,1271.0,1354.0,1324.0,8677980.0,969.6763305664062
2009-02-13,1376.0,1263.0,1353.0,1288.0,7674305.0,943.310546875
2009-02-16,1312.0,1265.0,1275.0,1287.0,3504552.0,942.5780639648438
2009-02-17,1266.0,1206.0,1260.0,1222.0,8516168.0,894.9732055664062
2009-02-18,1247.0,1171.0,1237.0,1228.0,9096866.0,899.36767578125
2009-02-19,1265.0,1210.0,1248.0,1236.0,6314417.0,905.2263793945312
2009-02-20,1160.0,1000.0,1160.0,1027.0,22784972.0,752.1582641601562
2009-02-23,1094.0,1016.0,1070.0,1030.0,11925140.0,754.3555908203125
2009-02-24,1041.0,993.0,1020.0,1033.0,11303696.0,756.5526733398438
2009-02-25,1060.0,972.0,1056.0,1015.0,9866043.0,743.3698120117188
2009-02-26,1044.0,1004.0,1019.0,1026.0,9695381.0,751.4259033203125
2009-02-27,1035.0,960.5,1028.0,1001.0,9366422.0,733.1163330078125
2009-03-02,966.0,912.0,941.0,914.0,8717521.0,669.3989868164062
2009-03-03,965.0,906.0,930.0,926.0,11696289.0,678.1876220703125
2009-03-04,1038.0,969.0,970.0,1034.0,12752762.0,757.2850341796875
2009-03-05,1029.0,949.5,1016.0,975.5,9636066.0,714.4407348632812
2009-03-06,1041.0,951.0,969.5,1011.0,9438590.0,740.440185546875
2009-03-09,1028.0,961.0,1016.0,996.5,8440911.0,729.8207397460938
2009-03-10,1088.0,977.5,988.0,1080.0,10316821.0,790.9747924804688
2009-03-11,1154.0,1052.0,1086.0,1144.0,11832837.0,837.84716796875
2009-03-12,1124.0,1058.0,1120.0,1105.0,10014719.0,809.2843627929688
2009-03-13,1166.0,1108.0,1140.0,1115.0,6636059.0,816.6082153320312
2009-03-16,1167.0,1098.0,1134.0,1153.0,6011002.0,844.438720703125
2009-03-17,1165.0,1085.0,1145.0,1116.0,10311565.0,817.3406982421875
2009-03-18,1156.0,1095.0,1140.0,1112.0,10217477.0,814.4109497070312
2009-03-19,1228.0,1135.0,1135.0,1219.0,24399098.0,892.7763061523438
2009-03-20,1291.0,1179.0,1198.0,1291.0,18310558.0,945.5077514648438
2009-03-23,1382.0,1317.0,1342.0,1366.0,9760089.0,1000.4365844726562
2009-03-24,1390.0,1225.0,1389.0,1275.0,11356142.0,933.7896118164062
2009-03-25,1273.0,1184.0,1248.0,1219.0,14400452.0,892.7763061523438
2009-03-26,1265.0,1215.0,1245.0,1252.0,7183698.0,916.9447631835938
2009-03-27,1266.0,1182.0,1238.0,1195.0,9810244.0,875.1989135742188
2009-03-30,1160.0,1078.0,1159.0,1081.0,7441916.0,791.70703125
2009-03-31,1191.0,1090.0,1090.0,1186.0,7445799.0,868.6073608398438
2009-04-01,1201.0,1099.0,1156.0,1195.0,8370976.0,875.1989135742188
2009-04-02,1352.0,1231.0,1247.0,1340.0,10577471.0,981.3944702148438
2009-04-03,1417.0,1311.0,1333.0,1366.0,15149856.0,1000.4365844726562
2009-04-06,1439.0,1314.0,1406.0,1337.0,9061372.0,979.1973266601562
2009-04-07,1359.0,1259.0,1352.0,1296.0,6465416.0,949.1697387695312
2009-04-08,1321.0,1226.0,1255.0,1307.0,6047661.0,957.2258911132812
2009-04-09,1410.0,1311.0,1333.0,1396.0,7085748.0,1022.408203125
2009-04-14,1460.0,1392.0,1428.0,1443.0,7476981.0,1056.8299560546875
2009-04-15,1449.0,1380.0,1417.0,1398.0,6514808.0,1023.8726806640625
2009-04-16,1428.0,1360.0,1380.0,1412.0,13169548.0,1034.126220703125
2009-04-17,1423.0,1365.0,1419.0,1379.0,9877911.0,1009.9573364257812
2009-04-20,1386.0,1274.0,1360.0,1291.0,7794705.0,945.5077514648438
2009-04-21,1308.0,1238.0,1283.0,1295.0,9084635.0,948.4371337890625
2009-04-22,1345.0,1260.0,1305.0,1332.0,6367397.0,975.5355224609375
2009-04-23,1354.0,1305.0,1330.0,1325.0,5985392.0,970.4088745117188
2009-04-24,1422.0,1327.0,1338.0,1422.0,8556262.0,1041.4501953125
2009-04-27,1423.0,1350.0,1385.0,1421.0,6124016.0,1040.7177734375
2009-04-28,1384.0,1314.0,1382.0,1342.0,6461632.0,982.8591918945312
2009-04-29,1442.0,1344.0,1345.0,1442.0,8508040.0,1056.09765625
2009-04-30,1529.0,1440.0,1440.0,1484.0,10695930.0,1086.85791015625
2009-05-01,1490.0,1444.0,1444.0,1484.0,2047036.0,1086.85791015625
2009-05-05,1597.0,1526.0,1545.0,1536.0,9160103.0,1124.9420166015625
2009-05-06,1591.0,1513.0,1519.0,1567.0,6578914.0,1147.6456298828125
2009-05-07,1647.0,1542.0,1592.0,1548.0,10787707.0,1133.73046875
2009-05-08,1638.0,1548.0,1574.0,1625.0,7440083.0,1190.1240234375
2009-05-11,1631.0,1557.0,1629.0,1602.0,6102770.0,1173.2791748046875
2009-05-12,1597.0,1537.0,1589.0,1555.0,5977223.0,1138.8570556640625
2009-05-13,1590.0,1462.0,1570.0,1472.0,8998723.0,1078.0693359375
2009-05-14,1478.0,1416.0,1465.0,1443.0,8169552.0,1056.8299560546875
2009-05-15,1516.0,1426.0,1467.0,1465.0,6706440.0,1072.942626953125
2009-05-18,1498.0,1408.0,1419.0,1488.0,5580515.0,1089.787353515625
2009-05-19,1600.0,1518.0,1524.0,1600.0,8793561.0,1171.814453125
2009-05-20,1645.0,1572.0,1593.0,1624.0,7588713.0,1189.3916015625
2009-05-21,1604.0,1548.0,1595.0,1580.0,10366101.0,1157.1666259765625
2009-05-22,1636.0,1585.0,1611.0,1625.0,7033314.0,1190.1240234375
2009-05-26,1634.0,1555.0,1595.0,1620.0,7798624.0,1186.4620361328125
