Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,45.0,42.75,43.0,45.0,587271.0,35.86967468261719
2009-01-05,47.75,45.7130012512207,45.75,47.25,2680814.0,37.663169860839844
2009-01-06,49.5,46.5,48.0,49.5,2563964.0,39.45664978027344
2009-01-07,51.5,48.0,48.0,50.25,1264030.0,40.05447769165039
2009-01-08,52.5,48.0,49.5,52.25,2105719.0,41.64868927001953
2009-01-09,52.25,50.0,51.5,51.5,1515465.0,41.05085754394531
2009-01-12,53.25,50.25,52.0,51.75,4015680.0,41.25013732910156
2009-01-13,50.25,44.25,50.0,49.5,3824922.0,39.45664978027344
2009-01-14,50.0,44.5,49.75,45.5,1668423.0,36.26823043823242
2009-01-15,46.25,42.0,46.25,45.0,1221668.0,35.86967468261719
2009-01-16,46.94900131225586,44.0,44.0,45.0,3427989.0,35.86967468261719
2009-01-19,45.75,42.75,44.0,43.25,1338726.0,34.474754333496094
2009-01-20,43.5,38.75,43.0,43.5,4510269.0,34.67403030395508
2009-01-21,43.75,41.5,43.0,43.75,4901369.0,34.8733024597168
2009-01-22,45.75,41.5,44.75,41.75,2390604.0,33.279090881347656
2009-01-23,42.0,39.0,42.0,40.0,682506.0,31.8841609954834
2009-01-26,41.25,36.5,39.5,39.0,2278483.0,31.087060928344727
2009-01-27,39.76900100708008,37.25,37.25,39.75,899113.0,31.68488311767578
2009-01-28,39.5,38.25,38.25,39.0,1093401.0,31.80722427368164
2009-01-29,40.900001525878906,38.5,40.25,40.0,5180753.0,32.62278747558594
2009-01-30,41.0,39.0,39.0,40.0,2152211.0,32.62278747558594
2009-02-02,40.75,38.75,40.75,39.0,1193034.0,31.80722427368164
2009-02-03,40.5,38.25,40.5,39.5,1746907.0,32.215003967285156
2009-02-04,41.79999923706055,39.29999923706055,39.25,41.0,1593818.0,33.438358306884766
2009-02-05,41.79999923706055,40.0,41.75,40.5,647728.0,33.03056716918945
2009-02-06,43.25,40.5,40.5,42.75,2508640.0,34.8656120300293
2009-02-09,47.0,42.0,42.0,45.0,1556493.0,36.70063400268555
2009-02-10,45.0,43.75,44.75,44.5,1232490.0,36.2928466796875
2009-02-11,43.75,42.5,43.5,42.75,1426671.0,34.8656120300293
2009-02-12,43.25,41.25,42.0,42.0,1048380.0,34.253936767578125
2009-02-13,43.0,41.5,42.75,41.75,528272.0,34.05003356933594
2009-02-16,41.125,39.25,41.0,39.5,676379.0,32.215003967285156
2009-02-17,39.25,37.75,38.0,38.0,1539627.0,30.991649627685547
2009-02-18,37.5,35.0,36.75,35.0,1014886.0,28.544946670532227
2009-02-19,37.0,35.0,36.25,35.0,814102.0,28.544946670532227
