Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,481.0,426.5,426.5,471.5,2720464.0,370.44866943359375
2009-01-05,504.0,452.25,474.25,458.0,3801470.0,359.8419189453125
2009-01-06,505.5,456.25,460.0,494.25,4659043.0,388.32293701171875
2009-01-07,502.5,445.0,499.75,453.25,6992026.0,356.1098937988281
2009-01-08,469.25,430.5,444.0,460.0,5496264.0,361.413330078125
2009-01-09,483.75,440.0,456.0,462.0,6098641.0,362.9845886230469
2009-01-12,453.5,421.5,453.5,424.75,3972849.0,333.7181091308594
2009-01-13,418.25,393.29998779296875,417.75,410.0,4675199.0,322.1292419433594
2009-01-14,411.75,371.0,411.75,380.25,4072405.0,298.7551574707031
2009-01-15,408.5,372.75,376.25,396.0,5524983.0,311.1297607421875
2009-01-16,423.5,405.75,407.25,418.5,5886888.0,328.8074951171875
2009-01-19,437.75,406.25,420.25,416.75,4313267.0,327.4326171875
2009-01-20,434.0,404.5,415.0,410.75,3821684.0,322.7183837890625
2009-01-21,424.75,393.5,406.25,417.0,4349945.0,327.6290283203125
2009-01-22,448.0,418.75,426.25,426.5,3878333.0,335.093017578125
2009-01-23,438.75,399.75,424.0,423.75,4188568.0,332.932373046875
2009-01-26,458.25,413.5,421.0,452.0,4217982.0,355.12786865234375
2009-01-27,456.0,428.75,447.25,448.5,4203060.0,352.37799072265625
2009-01-28,464.5,433.0,452.75,456.0,6069726.0,358.27056884765625
2009-01-29,452.25,425.75,450.0,446.75,6537574.0,351.00299072265625
2009-01-30,449.0,415.0,447.0,420.0,5538763.0,329.98602294921875
2009-02-02,419.5,401.0,416.0,407.0,4790983.0,319.7721862792969
2009-02-03,427.0,397.29998779296875,413.5,423.25,3762023.0,332.5394287109375
2009-02-04,486.0,425.5,431.25,477.0,7426904.0,374.76983642578125
2009-02-05,487.29998779296875,451.0,467.0,479.5,5517517.0,376.7340087890625
2009-02-06,502.0,478.5,484.5,498.75,3391373.0,391.8584289550781
2009-02-09,501.0,474.5,496.25,493.75,4414068.0,387.9300231933594
2009-02-10,497.0,464.5,493.75,474.0,2589013.0,372.4128723144531
2009-02-11,481.25,458.75,468.75,479.75,3796034.0,376.9304504394531
2009-02-12,478.0,446.5,478.0,462.75,3569500.0,363.573974609375
2009-02-13,482.5,458.5,472.75,470.0,3140568.0,369.2701110839844
2009-02-16,472.0,450.25,467.25,455.75,1256413.0,358.0740661621094
2009-02-17,454.0,440.25,454.0,450.5,2352260.0,353.94927978515625
2009-02-18,458.5,432.0,452.75,447.25,4013439.0,351.3958740234375
2009-02-19,464.75,440.5,452.5,454.75,3706151.0,357.2884521484375
2009-02-20,445.0,408.5,432.25,414.5,4994802.0,325.6647644042969
2009-02-23,430.75,411.5,425.0,416.0,3217209.0,326.8434143066406
2009-02-24,418.0,397.0,405.75,410.5,3496300.0,322.5220947265625
2009-02-25,434.75,415.0,422.5,427.0,4927624.0,335.48583984375
2009-02-26,469.5,427.75,434.5,462.25,5773356.0,363.18109130859375
2009-02-27,462.5,414.25,451.0,442.25,4476452.0,347.4674377441406
2009-03-02,460.75,422.25,427.5,437.25,4572615.0,343.5390625
2009-03-03,444.75,416.25,442.0,419.75,5533584.0,329.7896423339844
2009-03-04,513.0,435.0,435.0,501.5,7621533.0,394.0190734863281
2009-03-05,510.0,474.75,489.0,486.5,7403546.0,382.2338562011719
2009-03-06,513.0,477.0,489.0,501.5,3942264.0,394.0190734863281
2009-03-09,514.0,482.79998779296875,501.0,502.0,3643887.0,394.41192626953125
2009-03-10,563.5,500.5,500.5,530.5,6882475.0,416.8038024902344
2009-03-11,547.5,513.0,536.0,535.5,5614013.0,420.73223876953125
2009-03-12,519.0,481.25,515.0,511.0,5406335.0,401.4830322265625
2009-03-13,541.5,509.0,525.0,513.5,6122061.0,403.4472961425781
2009-03-16,526.0,505.0,516.5,521.5,3722201.0,409.7327575683594
2009-03-17,528.5,485.75,510.0,507.5,5563891.0,398.733154296875
2009-03-18,523.5,488.5,512.0,497.25,2507703.0,390.67999267578125
