Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,399.0,386.5,390.0,391.0,2113378.0,201.3953094482422
2009-01-05,402.5,374.5,402.5,386.75,4173130.0,199.2061767578125
2009-01-06,417.75,376.25,387.0,416.5,5680996.0,214.52975463867188
2009-01-07,419.0,396.5,419.0,402.75,4208926.0,207.4474639892578
2009-01-08,424.0,385.75,405.0,420.75,5409828.0,216.7188262939453
2009-01-09,438.0,406.0,420.0,421.0,4370939.0,216.8475799560547
2009-01-12,435.5,412.0,418.75,435.5,2626553.0,224.3162384033203
2009-01-13,425.0,391.0,425.0,400.0,5881958.0,206.03097534179688
2009-01-14,405.0,341.25,393.0,367.0,6904809.0,189.0334014892578
2009-01-15,379.5,346.79998779296875,355.0,354.0,6072848.0,182.33743286132812
2009-01-16,374.0,338.5,371.5,340.25,11944740.0,175.2550506591797
2009-01-19,357.0,310.0,350.0,318.75,12463519.0,164.180908203125
2009-01-20,327.5,288.75,316.25,298.75,14671635.0,153.87937927246094
2009-01-21,303.5,274.0,295.25,298.0,17219452.0,153.49305725097656
2009-01-22,313.75,280.0,310.75,283.0,10688655.0,145.76690673828125
2009-01-23,283.0,244.0,283.0,264.0,15222583.0,135.98043823242188
2009-01-26,313.75,258.79998779296875,279.0,301.25,15770864.0,155.16708374023438
2009-01-27,306.25,278.5,297.5,293.25,11891314.0,151.04647827148438
2009-01-28,338.75,300.0,302.25,333.0,15651498.0,171.52076721191406
2009-01-29,328.25,304.5,325.0,310.25,10934445.0,159.80274963378906
2009-01-30,316.75,300.0,311.0,312.0,13869112.0,160.70416259765625
2009-02-02,320.5,291.25,305.25,307.5,10364721.0,158.3862762451172
2009-02-03,337.25,300.29998779296875,309.25,332.75,12397461.0,171.3920135498047
2009-02-04,375.79998779296875,338.29998779296875,349.25,370.0,20254752.0,190.57862854003906
2009-02-05,386.25,353.29998779296875,354.5,386.25,17841892.0,198.9486541748047
2009-02-06,408.5,381.0,388.0,400.0,18053340.0,206.03097534179688
2009-02-09,405.0,387.0,388.25,404.25,13558443.0,208.2200469970703
2009-02-10,405.5,390.5,397.25,392.0,15291384.0,201.9103240966797
2009-02-11,388.25,372.5,388.25,379.75,12850208.0,195.6006317138672
2009-02-12,379.25,359.0,370.5,364.25,18060979.0,187.616943359375
2009-02-13,375.0,335.5,375.0,341.25,19002675.0,175.77015686035156
2009-02-16,349.75,316.0,333.0,317.25,9563249.0,163.40830993652344
2009-02-17,322.0,297.0,322.0,307.0,14047811.0,158.1287841796875
2009-02-18,314.0,286.5,313.0,304.25,16045568.0,156.7122802734375
2009-02-19,310.0,286.75,306.0,286.75,10617457.0,147.69845581054688
2009-02-20,297.75,270.5,283.5,290.5,18254858.0,149.62997436523438
2009-02-23,311.0,283.75,298.25,286.5,15029635.0,147.5696563720703
2009-02-24,287.75,264.0,278.0,272.0,11511153.0,140.10104370117188
2009-02-25,300.25,278.5,284.0,287.5,18717287.0,148.0847625732422
2009-02-26,331.0,292.0,292.25,323.25,17474665.0,166.4987335205078
2009-02-27,314.25,286.5,310.0,289.0,17054993.0,148.8573455810547
2009-03-02,283.0,266.75,274.75,267.5,12210072.0,137.7832489013672
2009-03-03,273.25,256.29998779296875,273.25,257.0,15039798.0,132.37486267089844
2009-03-04,287.75,259.0,259.0,285.0,16073434.0,146.7970428466797
2009-03-05,288.75,183.6999969482422,276.5,189.89999389648438,77307984.0,97.81321716308594
2009-03-06,201.75,160.10000610351562,190.0,163.3000030517578,54691952.0,84.11213684082031
2009-03-09,180.10000610351562,164.0,164.89999389648438,177.0,24672084.0,91.16871643066406
2009-03-10,199.60000610351562,172.10000610351562,172.10000610351562,197.3000030517578,27931888.0,101.62477111816406
2009-03-11,217.75,190.0,200.0,213.5,20745366.0,109.96900939941406
2009-03-12,204.0,179.39999389648438,203.0,191.0,32677436.0,98.3797836303711
2009-03-13,204.5,194.1999969482422,201.0,198.10000610351562,17595660.0,102.03682708740234
2009-03-16,212.0,195.0,205.0,198.10000610351562,15629254.0,102.03682708740234
2009-03-17,206.0,190.89999389648438,199.10000610351562,204.25,13178841.0,105.20455932617188
2009-03-18,214.0,192.89999389648438,212.0,197.39999389648438,14808123.0,101.67628479003906
2009-03-19,241.75,205.0,207.5,218.75,44625188.0,112.67317199707031
2009-03-20,238.0,210.0,210.0,238.0,20840640.0,122.58843231201172
2009-03-23,265.75,245.75,249.75,264.0,17461672.0,135.98043823242188
2009-03-24,277.5,252.0,268.5,267.0,20582996.0,137.52569580078125
2009-03-25,245.5,227.0,240.0,236.0,17980344.0,131.35317993164062
2009-03-26,245.0,225.5,234.0,245.0,19025410.0,136.3624267578125
2009-03-27,249.5,231.0,249.5,237.0,14762845.0,131.9097442626953
2009-03-30,229.75,202.5,229.75,202.5,21750636.0,112.70770263671875
2009-03-31,220.5,204.75,212.0,216.25,17175860.0,120.36071014404297
2009-04-01,227.3000030517578,205.25,214.0,227.25,21167180.0,126.48308563232422
2009-04-02,243.25,230.25,230.25,240.5,19985866.0,133.8577880859375
2009-04-03,257.0,230.25,242.0,251.5,21263272.0,139.9801788330078
2009-04-06,264.25,233.0,259.0,238.0,13506614.0,132.46632385253906
2009-04-07,250.0,225.25,240.5,226.5,14799618.0,126.065673828125
2009-04-08,232.75,220.25,223.0,228.5,11536308.0,127.1788101196289
2009-04-09,239.75,229.0,236.25,234.0,9819846.0,130.24000549316406
2009-04-14,254.0,234.0,236.5,242.75,14380421.0,135.11009216308594
2009-04-15,246.75,235.0,238.0,241.0,7446537.0,134.13609313964844
2009-04-16,256.5,241.0,245.0,255.0,18019895.0,141.92820739746094
2009-04-17,293.75,257.0,258.0,286.25,27807822.0,159.3213653564453
2009-04-20,290.0,265.25,273.0,274.0,13761955.0,152.50328063964844
2009-04-21,274.0,245.0,274.0,253.5,19320994.0,141.09332275390625
2009-04-22,263.25,242.25,252.0,252.25,22161527.0,140.39764404296875
2009-04-23,253.0,237.75,253.0,239.25,23826211.0,133.16204833984375
2009-04-24,273.25,238.0,238.0,273.25,24457586.0,152.08584594726562
2009-04-27,299.0,275.0,275.0,287.0,26174171.0,159.7388153076172
2009-04-28,284.75,269.0,277.25,275.25,11595368.0,153.19898986816406
2009-04-29,300.5,278.25,278.75,295.0,15413460.0,164.19149780273438
2009-04-30,321.25,294.0,301.0,315.5,16613243.0,175.6013641357422
2009-05-01,319.0,299.25,319.0,307.75,4972127.0,171.28787231445312
2009-05-05,354.75,321.5,323.0,327.5,14665927.0,182.28036499023438
2009-05-06,351.75,331.25,333.75,338.5,20725804.0,188.40272521972656
2009-05-07,363.5,337.75,350.0,341.0,19388573.0,189.79421997070312
2009-05-08,362.0,339.5,341.75,361.25,14492805.0,201.06495666503906
2009-05-11,359.25,342.75,359.0,350.0,8511136.0,194.80345153808594
2009-05-12,358.25,338.0,348.5,342.0,9354605.0,190.3507537841797
2009-05-13,349.0,300.75,345.75,310.75,20917573.0,172.95761108398438
2009-05-14,323.0,302.0,312.25,318.0,14862946.0,176.9928436279297
2009-05-15,331.25,308.0,319.25,312.75,10676544.0,174.07078552246094
2009-05-18,331.0,303.0,306.0,326.0,10094795.0,181.44544982910156
2009-05-19,351.0,333.0,335.0,349.75,11426246.0,194.66432189941406
2009-05-20,355.5,335.25,353.0,340.25,7750288.0,189.3767852783203
2009-05-21,341.0,317.25,331.0,320.75,9054280.0,178.5234375
2009-05-22,347.5,318.5,325.0,339.25,14778084.0,188.82020568847656
2009-05-26,347.75,324.0,337.0,340.25,9797638.0,189.3767852783203
2009-05-27,356.0,339.75,347.25,344.25,5973491.0,191.60308837890625
2009-05-28,342.5,329.25,338.25,337.5,7838625.0,187.84617614746094
2009-05-29,350.0,334.0,344.25,334.5,10085807.0,186.1764373779297
2009-06-01,361.5,344.0,347.5,357.25,8978863.0,198.8386688232422
2009-06-02,359.0,348.5,350.0,353.0,6977707.0,196.47315979003906
2009-06-03,359.29998779296875,333.25,359.25,334.5,10609984.0,186.1764373779297
2009-06-04,350.0,336.5,338.0,346.75,9054728.0,192.99456787109375
2009-06-05,359.75,347.0,347.0,358.0,10655906.0,199.25611877441406
2009-06-08,356.75,346.0,354.5,354.25,6658879.0,197.16888427734375
2009-06-09,357.25,343.25,355.0,344.25,6483290.0,191.60308837890625
2009-06-10,358.0,347.75,352.0,350.25,8339510.0,194.94259643554688
2009-06-11,366.5,345.0,346.5,364.75,8109820.0,203.01300048828125
2009-06-12,364.25,351.75,362.75,352.0,6672570.0,195.9166259765625
2009-06-15,356.5,331.25,348.0,336.25,11499984.0,187.15042114257812
2009-06-16,339.5,328.25,336.0,331.75,7382796.0,184.64581298828125
2009-06-17,339.0,323.0,331.75,329.0,11787885.0,183.11524963378906
2009-06-18,332.25,317.0,326.75,318.25,10243769.0,177.13198852539062
2009-06-19,340.0,320.0,325.0,336.75,16968664.0,187.4287567138672
2009-06-22,340.0,325.75,338.25,329.0,8724635.0,183.11524963378906
2009-06-23,334.25,321.75,330.0,326.0,9277974.0,181.44544982910156
2009-06-24,341.0,321.0,328.0,334.0,11799064.0,185.89817810058594
2009-06-25,335.5,322.25,334.0,327.25,5461382.0,182.14122009277344
2009-06-26,336.0,325.0,330.0,330.25,7836738.0,183.81097412109375
2009-06-29,346.25,327.5,327.75,341.5,10319939.0,190.07252502441406
2009-06-30,346.0,335.25,345.0,341.5,8475010.0,190.07252502441406
2009-07-01,350.75,342.0,343.75,348.75,7362055.0,194.10769653320312
2009-07-02,348.0,333.75,345.25,335.75,8832298.0,186.87216186523438
2009-07-03,348.75,333.75,334.25,340.5,4051256.0,189.5159149169922
2009-07-06,342.25,330.0,342.25,337.25,7637390.0,187.70706176757812
2009-07-07,342.5,330.5,342.5,331.0,10140333.0,184.22840881347656
2009-07-08,328.5,299.75,327.75,303.0,12484671.0,168.64414978027344
2009-07-09,313.25,285.75,307.25,291.0,16779266.0,161.9651336669922
2009-07-10,292.25,276.79998779296875,291.0,276.75,16281621.0,154.0338592529297
2009-07-13,298.5,274.79998779296875,279.5,297.25,11277005.0,165.44375610351562
2009-07-14,310.5,297.0,300.75,307.75,7988742.0,171.28787231445312
2009-07-15,321.79998779296875,310.5,312.0,321.75,8748005.0,179.0800323486328
