Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,269.5,260.25,269.5,262.5,5803010.0,138.8733367919922
2009-01-05,275.0,263.0,266.5,274.0,11960777.0,144.9573211669922
2009-01-06,277.5,271.0,275.0,277.0,15606569.0,146.54446411132812
2009-01-07,277.0,265.5,275.0,270.0,15445933.0,142.8411407470703
2009-01-08,272.25,261.0,269.5,270.0,13023011.0,142.8411407470703
2009-01-09,272.0,263.75,269.75,265.5,11682035.0,140.46046447753906
2009-01-12,269.0,258.25,265.25,264.25,10777400.0,139.7991485595703
2009-01-13,271.0,261.25,264.0,270.0,13143357.0,142.8411407470703
2009-01-14,272.0,258.75,272.0,264.0,15782720.0,139.66693115234375
2009-01-15,271.0,261.0,261.0,267.5,18880940.0,141.51853942871094
2009-01-16,274.25,261.75,273.25,263.0,21842193.0,139.13787841796875
2009-01-19,280.25,266.75,268.0,274.5,23769410.0,145.22183227539062
2009-01-20,274.75,264.0,272.0,272.0,21702769.0,143.8992462158203
2009-01-21,271.0,263.25,268.5,265.25,24741431.0,140.32818603515625
2009-01-22,268.25,253.75,268.0,257.5,26283958.0,136.2281494140625
2009-01-23,261.25,254.0,258.0,259.75,19045322.0,137.41847229003906
2009-01-26,270.0,256.75,258.25,268.75,13615513.0,142.17987060546875
2009-01-27,268.75,261.75,267.0,265.5,12565730.0,140.46046447753906
2009-01-28,271.0,262.75,266.75,266.75,14206597.0,141.12176513671875
2009-01-29,268.0,255.5,265.25,257.25,14659593.0,136.0958709716797
2009-01-30,263.0,255.25,258.0,258.0,13559298.0,136.49266052246094
2009-02-02,259.75,252.0,257.25,256.5,11467962.0,135.69911193847656
2009-02-03,264.0,254.75,255.75,262.5,9127196.0,138.8733367919922
2009-02-04,268.25,260.0,262.25,264.75,12465144.0,140.0636749267578
2009-02-05,268.75,262.75,263.0,268.0,14358171.0,141.78306579589844
2009-02-06,274.75,266.75,269.5,271.25,15351191.0,143.50247192382812
2009-02-09,276.25,269.25,270.25,273.75,8531205.0,144.82504272460938
2009-02-10,287.0,271.75,273.0,284.75,59452544.0,150.64451599121094
2009-02-11,288.0,276.25,282.5,285.0,23215885.0,150.7767791748047
2009-02-12,284.0,277.0,283.0,281.5,31633418.0,148.9251251220703
2009-02-13,288.75,280.0,282.25,285.75,20518077.0,151.17355346679688
2009-02-16,284.5,276.5,283.5,278.25,7105182.0,147.20574951171875
2009-02-17,280.5,272.25,278.5,275.5,14093238.0,145.75086975097656
2009-02-18,277.5,267.0,277.5,270.5,9555559.0,143.1056671142578
2009-02-19,272.25,262.5,270.25,267.75,17638911.0,141.65081787109375
2009-02-20,268.75,261.5,265.75,264.5,12771937.0,139.9314422607422
2009-02-23,267.75,261.25,266.0,263.5,9832666.0,139.40235900878906
2009-02-24,264.75,257.5,262.75,259.75,13778497.0,137.41847229003906
2009-02-25,263.0,253.5,261.75,258.25,13967461.0,136.6249237060547
2009-02-26,270.0,254.25,257.0,266.0,22862554.0,140.72499084472656
2009-02-27,270.5,260.25,262.25,270.5,27649966.0,143.1056671142578
2009-03-02,269.0,260.0,268.0,261.75,27188560.0,138.47657775878906
2009-03-03,263.25,247.75,262.5,248.75,41150767.0,131.59902954101562
2009-03-04,254.25,244.25,251.75,249.75,15906135.0,132.12803649902344
2009-03-05,255.0,242.0,248.5,248.75,18690326.0,131.59902954101562
2009-03-06,251.25,244.0,247.5,245.5,15170156.0,129.879638671875
2009-03-09,247.0,239.5,246.75,240.75,16768657.0,127.36669158935547
2009-03-10,251.5,237.0,238.25,250.0,16048236.0,132.26034545898438
2009-03-11,250.75,234.5,249.0,235.0,20392510.0,124.3247299194336
2009-03-12,243.25,234.75,237.0,241.25,18940945.0,127.6312255859375
2009-03-13,247.5,238.75,242.5,240.0,13180128.0,126.96990966796875
2009-03-16,247.75,242.25,243.0,244.0,17935520.0,129.08609008789062
2009-03-17,251.0,243.0,244.25,246.25,12719186.0,130.27642822265625
2009-03-18,250.5,243.5,248.5,247.0,14257320.0,130.67318725585938
2009-03-19,249.25,235.25,248.0,236.25,19227181.0,124.98603057861328
2009-03-20,249.5,234.25,237.0,248.0,26758991.0,131.20223999023438
2009-03-23,253.5,237.75,251.0,243.0,17822718.0,128.55703735351562
2009-03-24,245.75,236.5,244.5,236.75,15842689.0,125.25053405761719
2009-03-25,240.0,233.75,237.0,235.0,34416124.0,124.3247299194336
2009-03-26,236.25,223.5,235.25,224.75,20247810.0,118.90203857421875
2009-03-27,233.0,225.5,227.0,227.25,17327854.0,120.22461700439453
2009-03-30,229.5,221.0,227.5,221.0,20559248.0,116.91812133789062
2009-03-31,228.75,222.25,224.0,227.75,21305382.0,120.48917388916016
2009-04-01,232.5,226.0,226.75,230.75,12140310.0,122.07627868652344
2009-04-02,234.25,223.5,231.0,227.5,27849368.0,120.35689544677734
2009-04-03,230.75,220.5,228.5,221.75,21688366.0,117.31491088867188
2009-04-06,234.5,224.5,224.5,232.0,14921434.0,122.7375717163086
2009-04-07,239.75,228.75,231.5,229.5,15904198.0,121.41497802734375
2009-04-08,230.5,225.5,230.0,229.25,15683882.0,121.2827377319336
2009-04-09,234.25,227.75,229.5,228.5,14203236.0,120.88592529296875
2009-04-14,231.0,226.25,229.75,227.0,11646234.0,120.0923843383789
2009-04-15,236.25,227.5,227.5,236.25,19809552.0,124.98603057861328
2009-04-16,239.5,234.25,235.5,239.0,17863140.0,126.4408950805664
2009-04-17,241.0,236.5,238.75,240.0,19240706.0,126.96990966796875
2009-04-20,245.5,237.25,238.0,243.5,15635829.0,128.82154846191406
2009-04-21,248.25,240.25,243.25,246.0,20115822.0,130.14422607421875
2009-04-22,238.5,231.0,238.5,235.0,23523128.0,128.89907836914062
2009-04-23,236.0,231.0,234.25,231.0,16253869.0,126.70503997802734
2009-04-24,237.75,230.5,230.5,233.5,15469824.0,128.07627868652344
2009-04-27,241.75,231.25,232.25,239.0,28936429.0,131.09310913085938
2009-04-28,232.75,224.5,231.0,225.0,21090949.0,123.41397094726562
2009-04-29,229.5,223.0,226.75,228.25,19002405.0,125.1966323852539
2009-04-30,230.25,226.0,228.75,227.0,15220112.0,124.510986328125
2009-05-01,230.0,225.75,225.75,227.0,7781435.0,124.510986328125
2009-05-05,230.5,225.75,230.25,227.0,23932784.0,124.510986328125
2009-05-06,232.5,225.75,226.0,228.5,24435572.0,125.33380126953125
2009-05-07,237.75,227.25,227.5,232.5,22819877.0,127.52780151367188
2009-05-08,234.25,225.0,233.0,227.5,55045629.0,124.78524780273438
2009-05-11,244.0,230.0,230.0,241.25,27672338.0,132.32723999023438
2009-05-12,242.75,239.0,242.5,240.5,54415944.0,131.9158477783203
2009-05-13,247.25,241.0,241.5,243.0,20756636.0,133.287109375
2009-05-14,244.25,237.0,242.0,242.75,15763195.0,133.14999389648438
2009-05-15,244.0,236.0,242.75,237.5,13363733.0,130.2703094482422
2009-05-18,239.5,234.0,236.0,239.5,11834800.0,131.36732482910156
