Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,1904.0,1800.0,1850.0,1899.0,1698548.0,1119.9310302734375
2009-01-05,1924.0,1818.0,1924.0,1856.0,3700941.0,1094.572021484375
2009-01-06,1877.0,1826.0,1869.0,1846.0,3125645.0,1088.67431640625
2009-01-07,1869.0,1801.0,1832.0,1820.0,2884169.0,1073.341064453125
2009-01-08,1877.0,1801.0,1819.0,1868.0,2155586.0,1101.6490478515625
2009-01-09,1898.0,1855.0,1881.0,1873.0,2863403.0,1104.597900390625
2009-01-12,1905.0,1863.0,1863.0,1892.0,2756981.0,1115.8026123046875
2009-01-13,1896.0,1838.0,1881.0,1860.0,3799619.0,1096.9310302734375
2009-01-14,1879.0,1781.0,1879.0,1815.0,5058688.0,1070.392333984375
2009-01-15,1887.0,1818.0,1820.0,1880.0,5943254.0,1108.7259521484375
2009-01-16,1910.0,1879.0,1904.0,1891.0,4252546.0,1115.2130126953125
2009-01-19,1943.0,1866.0,1910.0,1908.0,2714854.0,1125.2386474609375
2009-01-20,1983.0,1900.0,1912.0,1940.0,3589134.0,1144.11083984375
2009-01-21,1918.0,1814.0,1901.0,1827.0,5833234.0,1101.4283447265625
2009-01-22,1855.0,1813.0,1843.0,1836.0,3772550.0,1106.85400390625
2009-01-23,1873.0,1814.0,1844.0,1849.0,3181623.0,1114.691162109375
2009-01-26,1877.0,1821.0,1842.0,1873.0,3497345.0,1129.16015625
2009-01-27,1896.0,1833.0,1859.0,1892.0,2335241.0,1140.6141357421875
2009-01-28,1919.0,1886.0,1899.0,1899.0,2335198.0,1144.8343505859375
2009-01-29,1910.0,1848.0,1896.0,1859.0,3482426.0,1120.7198486328125
2009-01-30,1899.0,1844.0,1863.0,1893.0,3894504.0,1141.21728515625
2009-02-02,1900.0,1837.0,1900.0,1851.0,2298948.0,1115.8968505859375
2009-02-03,1887.0,1821.0,1861.0,1875.0,2411898.0,1130.3656005859375
2009-02-04,1889.0,1807.0,1874.0,1829.0,4328930.0,1102.6336669921875
2009-02-05,1842.0,1786.0,1810.0,1821.0,2927874.0,1097.8111572265625
2009-02-06,1829.0,1754.0,1821.0,1778.0,4604082.0,1071.88818359375
2009-02-09,1793.0,1746.0,1779.0,1785.0,2876254.0,1076.108154296875
2009-02-10,1790.0,1748.0,1778.0,1750.0,3173047.0,1055.0079345703125
2009-02-11,1788.0,1738.0,1750.0,1778.0,3319372.0,1071.88818359375
2009-02-12,1788.0,1741.0,1764.0,1784.0,3439358.0,1075.5050048828125
2009-02-13,1827.0,1770.0,1783.0,1780.0,2853726.0,1073.0938720703125
2009-02-16,1786.0,1760.0,1782.0,1770.0,1196087.0,1067.065185546875
2009-02-17,1773.0,1738.0,1766.0,1756.0,3055487.0,1058.625244140625
2009-02-18,1775.0,1718.0,1763.0,1754.0,2812563.0,1057.4190673828125
2009-02-19,1772.0,1729.0,1755.0,1769.0,2064269.0,1066.4622802734375
2009-02-20,1760.0,1718.0,1749.0,1720.0,3467408.0,1036.9219970703125
2009-02-23,1747.0,1675.0,1731.0,1683.0,3149096.0,1014.6160888671875
2009-02-24,1696.0,1640.0,1690.0,1660.0,2860074.0,1000.750244140625
2009-02-25,1672.0,1620.0,1672.0,1655.0,4025280.0,997.7359619140625
2009-02-26,1681.0,1642.0,1651.0,1651.0,4102038.0,995.3245239257812
2009-02-27,1697.0,1624.0,1639.0,1680.0,4692887.0,1012.8076782226562
2009-03-02,1681.0,1603.0,1667.0,1611.0,3239121.0,971.2101440429688
2009-03-03,1622.0,1545.0,1612.0,1555.0,3426952.0,937.4497680664062
2009-03-04,1580.0,1512.0,1568.0,1565.0,4122509.0,943.4785766601562
2009-03-05,1597.0,1546.0,1558.0,1554.0,3033430.0,936.8470458984375
2009-03-06,1560.0,1518.0,1559.0,1533.0,2880243.0,924.186767578125
2009-03-09,1579.0,1522.0,1533.0,1570.0,3428557.0,946.4928588867188
2009-03-10,1661.0,1570.0,1590.0,1657.0,5208492.0,998.9412231445312
2009-03-11,1693.0,1625.0,1663.0,1631.0,3722444.0,983.2672729492188
2009-03-12,1660.0,1597.0,1640.0,1645.0,2951027.0,991.70751953125
2009-03-13,1657.0,1604.0,1650.0,1620.0,2235376.0,976.6355590820312
2009-03-16,1653.0,1632.0,1646.0,1642.0,3564572.0,989.8987426757812
2009-03-17,1644.0,1594.0,1644.0,1609.0,3466142.0,970.0045166015625
2009-03-18,1641.0,1565.0,1630.0,1584.0,3598498.0,954.9328002929688
2009-03-19,1598.0,1527.0,1588.0,1545.0,5069081.0,931.42138671875
2009-03-20,1602.0,1537.0,1538.0,1580.0,5779156.0,952.5215454101562
2009-03-23,1605.0,1544.0,1599.0,1583.0,3536826.0,954.3301391601562
2009-03-24,1631.0,1580.0,1614.0,1613.0,2941193.0,972.4159545898438
2009-03-25,1626.0,1560.0,1604.0,1570.0,3224683.0,946.4928588867188
2009-03-26,1572.0,1533.0,1572.0,1542.0,3057888.0,929.6126098632812
2009-03-27,1552.0,1505.0,1536.0,1531.0,5232087.0,922.9812622070312
2009-03-30,1567.0,1500.0,1515.0,1533.0,3069278.0,924.186767578125
2009-03-31,1576.0,1528.0,1532.0,1567.0,3420901.0,944.684326171875
2009-04-01,1582.0,1539.0,1580.0,1567.0,2255979.0,944.684326171875
2009-04-02,1604.0,1553.0,1587.0,1581.0,5911879.0,953.1242065429688
2009-04-03,1590.0,1532.0,1573.0,1543.0,6754062.0,930.215576171875
2009-04-06,1560.0,1506.0,1536.0,1514.0,2575882.0,912.7326049804688
2009-04-07,1538.0,1491.0,1523.0,1516.0,3241875.0,913.9384155273438
2009-04-08,1557.0,1496.0,1501.0,1532.0,3286498.0,923.5841064453125
2009-04-09,1530.0,1473.0,1524.0,1477.0,4551418.0,890.4269409179688
2009-04-14,1489.0,1412.0,1489.0,1430.0,5606487.0,862.0921020507812
2009-04-15,1486.0,1424.0,1427.0,1482.0,3077920.0,893.4410400390625
2009-04-16,1502.0,1455.0,1480.0,1500.0,2736175.0,904.29248046875
2009-04-17,1554.0,1486.0,1508.0,1543.0,4760766.0,930.215576171875
2009-04-20,1563.0,1514.0,1529.0,1525.0,4298713.0,919.3639526367188
2009-04-21,1542.0,1483.0,1532.0,1507.0,4910370.0,908.5125122070312
2009-04-22,1516.0,1466.0,1512.0,1490.0,5471021.0,898.263671875
2009-04-23,1557.0,1485.0,1485.0,1525.0,3538539.0,919.3639526367188
2009-04-24,1559.0,1518.0,1531.0,1536.0,2165935.0,925.9952392578125
2009-04-27,1545.0,1514.0,1528.0,1524.0,2167116.0,918.7611694335938
2009-04-28,1562.0,1496.0,1509.0,1552.0,3558469.0,935.6412353515625
2009-04-29,1565.0,1536.0,1560.0,1558.0,2749675.0,939.2584228515625
2009-04-30,1579.0,1541.0,1579.0,1551.0,3500758.0,935.0384521484375
2009-05-01,1535.0,1503.0,1527.0,1522.0,2771647.0,917.5556640625
2009-05-05,1557.0,1485.0,1550.0,1510.0,7829651.0,910.3212280273438
2009-05-06,1572.0,1504.0,1504.0,1547.0,4561300.0,932.6268920898438
2009-05-07,1590.0,1546.0,1556.0,1559.0,5872468.0,939.8614501953125
2009-05-08,1600.0,1553.0,1563.0,1590.0,4004393.0,958.5501708984375
2009-05-11,1638.0,1566.0,1583.0,1632.0,3748413.0,983.870361328125
2009-05-12,1593.0,1526.0,1592.0,1567.0,11975175.0,944.684326171875
2009-05-13,1616.0,1567.0,1575.0,1583.0,4078887.0,954.3301391601562
2009-05-14,1606.0,1567.0,1589.0,1601.0,3679854.0,965.1813354492188
2009-05-15,1635.0,1589.0,1610.0,1620.0,3256134.0,976.6355590820312
2009-05-18,1632.0,1596.0,1606.0,1625.0,1983541.0,979.6503295898438
2009-05-19,1639.0,1605.0,1639.0,1613.0,4021974.0,972.4159545898438
2009-05-20,1629.0,1606.0,1616.0,1619.0,1436912.0,976.0330200195312
2009-05-21,1628.0,1600.0,1616.0,1615.0,1942863.0,973.6216430664062
2009-05-22,1627.0,1601.0,1621.0,1608.0,2494111.0,969.4014892578125
2009-05-26,1655.0,1597.0,1610.0,1651.0,1902934.0,995.3245239257812
2009-05-27,1660.0,1622.0,1660.0,1647.0,2153062.0,992.9132080078125
2009-05-28,1648.0,1607.0,1632.0,1633.0,2075814.0,984.47314453125
2009-05-29,1659.0,1592.0,1645.0,1600.0,3007669.0,964.57861328125
2009-06-01,1632.0,1588.0,1632.0,1599.0,3278429.0,963.9755859375
2009-06-02,1602.0,1579.0,1596.0,1585.0,4403940.0,955.5357055664062
2009-06-03,1618.0,1580.0,1593.0,1600.0,3411388.0,964.57861328125
2009-06-04,1627.0,1600.0,1600.0,1616.0,2326050.0,974.2245483398438
2009-06-05,1639.0,1607.0,1618.0,1618.0,2104087.0,975.4299926757812
2009-06-08,1621.0,1588.0,1609.0,1610.0,1266164.0,970.6072998046875
2009-06-09,1624.0,1594.0,1620.0,1605.0,3627155.0,967.5928955078125
2009-06-10,1627.0,1602.0,1618.0,1607.0,2666813.0,968.79833984375
2009-06-11,1621.0,1583.0,1600.0,1611.0,2409694.0,971.2101440429688
2009-06-12,1634.0,1605.0,1605.0,1615.0,2717571.0,973.6216430664062
2009-06-15,1612.0,1581.0,1610.0,1582.0,3080438.0,953.7272338867188
2009-06-16,1614.0,1585.0,1585.0,1593.0,2771473.0,960.3587036132812
2009-06-17,1588.0,1569.0,1581.0,1585.0,2436207.0,968.3004760742188
2009-06-18,1618.0,1575.0,1602.0,1607.0,3591617.0,981.7402954101562
2009-06-19,1626.0,1589.0,1612.0,1616.0,5427888.0,987.239013671875
2009-06-22,1622.0,1590.0,1610.0,1601.0,1948177.0,978.0748901367188
2009-06-23,1616.0,1594.0,1594.0,1612.0,1773599.0,984.7950439453125
2009-06-24,1624.0,1590.0,1614.0,1616.0,2173066.0,987.239013671875
2009-06-25,1619.0,1574.0,1612.0,1592.0,2472323.0,972.5771484375
2009-06-26,1611.0,1570.0,1594.0,1576.0,2204626.0,962.8023071289062
2009-06-29,1590.0,1562.0,1576.0,1569.0,2094051.0,958.5260009765625
2009-06-30,1579.0,1547.0,1569.0,1578.0,3339351.0,964.0242919921875
2009-07-01,1604.0,1571.0,1579.0,1592.0,2314214.0,972.5771484375
2009-07-02,1593.0,1556.0,1584.0,1565.0,2467849.0,956.082275390625
2009-07-03,1593.0,1554.0,1562.0,1580.0,1622396.0,965.2461547851562
2009-07-06,1611.0,1564.0,1586.0,1603.0,2568895.0,979.296875
2009-07-07,1612.0,1582.0,1611.0,1588.0,2660893.0,970.133544921875
2009-07-08,1606.0,1585.0,1587.0,1600.0,2809072.0,977.4642333984375
2009-07-09,1625.0,1575.0,1599.0,1615.0,2543075.0,986.6280517578125
2009-07-10,1608.0,1586.0,1608.0,1589.0,2276131.0,970.7440185546875
2009-07-13,1624.0,1582.0,1585.0,1620.0,1481997.0,989.6823120117188
2009-07-14,1616.0,1590.0,1616.0,1605.0,2316124.0,980.5188598632812
2009-07-15,1628.0,1596.0,1613.0,1622.0,2162314.0,990.9043579101562
2009-07-16,1656.0,1624.0,1627.0,1638.0,2007880.0,1000.6788940429688
2009-07-17,1649.0,1624.0,1649.0,1638.0,2121357.0,1000.6788940429688
2009-07-20,1646.0,1620.0,1643.0,1631.0,1596834.0,996.4024658203125
2009-07-21,1652.0,1614.0,1628.0,1631.0,2951815.0,996.4024658203125
2009-07-22,1681.0,1617.0,1625.0,1675.0,3040033.0,1023.2831420898438
2009-07-23,1686.0,1641.0,1681.0,1660.0,2359464.0,1014.119140625
2009-07-24,1667.0,1629.0,1653.0,1667.0,1950871.0,1018.3956909179688
2009-07-27,1676.0,1625.0,1675.0,1639.0,2829577.0,1001.2898559570312
2009-07-28,1649.0,1624.0,1634.0,1631.0,1879434.0,996.4024658203125
2009-07-29,1682.0,1625.0,1631.0,1672.0,3160730.0,1021.4501953125
2009-07-30,1717.0,1667.0,1678.0,1700.0,3537837.0,1038.555908203125
2009-07-31,1736.0,1683.0,1685.0,1711.0,3935614.0,1045.275634765625
2009-08-03,1710.0,1662.0,1710.0,1669.0,3460392.0,1019.6175537109375
2009-08-04,1702.0,1658.0,1669.0,1679.0,1552081.0,1025.7266845703125
2009-08-05,1685.0,1646.0,1673.0,1652.0,1711375.0,1009.2316284179688
2009-08-06,1667.0,1642.0,1662.0,1647.0,1421171.0,1006.1773071289062
2009-08-07,1686.0,1643.0,1651.0,1680.0,1837768.0,1026.337646484375
2009-08-10,1686.0,1656.0,1686.0,1663.0,1407631.0,1015.9520263671875
2009-08-11,1686.0,1659.0,1673.0,1677.0,1655422.0,1024.5047607421875
2009-08-12,1719.0,1675.0,1679.0,1709.0,2276271.0,1044.053955078125
2009-08-13,1721.0,1681.0,1708.0,1707.0,1887754.0,1042.8319091796875
2009-08-14,1724.0,1699.0,1702.0,1702.0,1579971.0,1039.7777099609375
2009-08-17,1707.0,1672.0,1694.0,1680.0,575451.0,1026.337646484375
2009-08-18,1688.0,1672.0,1688.0,1684.0,2285240.0,1028.7813720703125
2009-08-19,1714.0,1674.0,1681.0,1698.0,2410588.0,1037.333740234375
2009-08-20,1726.0,1698.0,1713.0,1714.0,1641226.0,1047.1085205078125
2009-08-21,1761.0,1714.0,1714.0,1748.0,2950432.0,1067.879638671875
2009-08-24,1747.0,1721.0,1744.0,1734.0,1957837.0,1059.3270263671875
2009-08-25,1749.0,1728.0,1730.0,1731.0,1362014.0,1057.494384765625
2009-08-26,1748.0,1720.0,1720.0,1739.0,1322358.0,1062.3814697265625
2009-08-27,1746.0,1716.0,1732.0,1724.0,1461164.0,1053.2177734375
2009-08-28,1746.0,1717.0,1728.0,1730.0,2238852.0,1056.88330078125
2009-09-01,1760.0,1721.0,1747.0,1723.0,2175772.0,1052.60693359375
2009-09-02,1750.0,1706.0,1720.0,1749.0,2207279.0,1068.490478515625
2009-09-03,1762.0,1715.0,1761.0,1717.0,3126802.0,1048.9412841796875
2009-09-04,1728.0,1710.0,1718.0,1710.0,2108315.0,1044.6651611328125
2009-09-07,1752.0,1717.0,1721.0,1736.0,2023215.0,1060.548828125
2009-09-08,1746.0,1718.0,1745.0,1723.0,2077165.0,1052.60693359375
2009-09-09,1741.0,1709.0,1722.0,1727.0,2193282.0,1055.050537109375
2009-09-10,1766.0,1731.0,1736.0,1752.0,2426458.0,1070.3233642578125
2009-09-11,1769.0,1748.0,1763.0,1764.0,2264627.0,1077.6544189453125
2009-09-14,1781.0,1760.0,1775.0,1770.0,1489488.0,1081.3199462890625
2009-09-15,1791.0,1758.0,1768.0,1758.0,2212205.0,1073.989013671875
2009-09-16,1767.0,1747.0,1758.0,1764.0,1871779.0,1077.6544189453125
2009-09-17,1785.0,1759.0,1777.0,1775.0,1412288.0,1084.37451171875
2009-09-18,1789.0,1761.0,1781.0,1770.0,5334778.0,1081.3199462890625
2009-09-21,1774.0,1744.0,1774.0,1752.0,2501687.0,1070.3233642578125
2009-09-22,1775.0,1752.0,1760.0,1758.0,3135920.0,1073.989013671875
2009-09-23,1794.0,1756.0,1757.0,1780.0,4791108.0,1087.42919921875
2009-09-24,1824.0,1772.0,1784.0,1795.0,4613143.0,1096.5926513671875
2009-09-25,1815.0,1788.0,1802.0,1799.0,2777929.0,1099.0362548828125
2009-09-28,1828.0,1794.0,1807.0,1805.0,3014584.0,1102.7021484375
2009-09-29,1813.0,1787.0,1800.0,1797.0,1071242.0,1097.814453125
2009-09-30,1809.0,1778.0,1798.0,1808.0,3766970.0,1104.5345458984375
2009-10-01,1834.0,1804.0,1815.0,1816.0,3683987.0,1109.4222412109375
2009-10-02,1821.0,1790.0,1810.0,1809.0,3078903.0,1105.1451416015625
2009-10-05,1814.0,1792.0,1814.0,1814.0,1571383.0,1108.199951171875
2009-10-06,1829.0,1797.0,1810.0,1806.0,2185196.0,1103.312744140625
2009-10-07,1811.0,1783.0,1799.0,1785.0,2395967.0,1090.4835205078125
2009-10-08,1818.0,1775.0,1798.0,1800.0,2910992.0,1099.647216796875
2009-10-09,1810.0,1787.0,1797.0,1810.0,1935327.0,1105.7562255859375
2009-10-12,1826.0,1800.0,1810.0,1803.0,1545320.0,1101.4798583984375
2009-10-13,1831.0,1799.0,1806.0,1805.0,2642746.0,1102.7021484375
2009-10-14,1854.0,1825.0,1831.0,1826.0,2785753.0,1115.5308837890625
2009-10-15,1842.0,1811.0,1827.0,1811.0,2583523.0,1106.367431640625
2009-10-16,1835.0,1810.0,1814.0,1816.0,2733963.0,1109.4222412109375
2009-10-19,1852.0,1814.0,1814.0,1846.0,1878522.0,1127.749267578125
2009-10-20,1854.0,1828.0,1843.0,1837.0,1841388.0,1122.2510986328125
2009-10-21,1846.0,1819.0,1838.0,1838.0,1545941.0,1122.862548828125
2009-10-22,1834.0,1809.0,1828.0,1809.0,1923686.0,1105.1451416015625
2009-10-23,1838.0,1814.0,1815.0,1817.0,2196549.0,1110.0325927734375
2009-10-26,1830.0,1802.0,1826.0,1812.0,2757229.0,1106.9781494140625
2009-10-27,1841.0,1812.0,1822.0,1827.0,2794307.0,1116.1422119140625
2009-10-28,1825.0,1791.0,1820.0,1807.0,3072803.0,1103.9234619140625
2009-10-29,1822.0,1787.0,1811.0,1806.0,3154836.0,1103.312744140625
2009-10-30,1830.0,1796.0,1810.0,1800.0,2930902.0,1099.647216796875
2009-11-02,1804.0,1782.0,1795.0,1800.0,2398956.0,1099.647216796875
2009-11-03,1791.0,1768.0,1791.0,1780.0,2157552.0,1087.42919921875
2009-11-04,1796.0,1765.0,1783.0,1791.0,2123142.0,1094.1490478515625
2009-11-05,1822.0,1778.0,1780.0,1814.0,2451790.0,1108.199951171875
2009-11-06,1834.0,1807.0,1810.0,1823.0,1831434.0,1113.6986083984375
2009-11-09,1836.0,1807.0,1825.0,1828.0,2256053.0,1116.753173828125
2009-11-10,1902.0,1839.0,1847.0,1870.0,4550421.0,1142.4114990234375
2009-11-11,1890.0,1863.0,1873.0,1872.0,2045583.0,1143.63330078125
2009-11-12,1892.0,1862.0,1876.0,1885.0,2013569.0,1151.5748291015625
2009-11-13,1900.0,1875.0,1875.0,1898.0,1718262.0,1159.51708984375
2009-11-16,1906.0,1879.0,1898.0,1892.0,2205614.0,1155.8514404296875
2009-11-17,1905.0,1886.0,1892.0,1886.0,2169477.0,1152.1859130859375
2009-11-18,1901.0,1846.0,1898.0,1852.0,2842238.0,1131.4149169921875
2009-11-19,1875.0,1820.0,1846.0,1833.0,3049568.0,1119.807861328125
2009-11-20,1851.0,1824.0,1836.0,1834.0,4607603.0,1120.4185791015625
2009-11-23,1867.0,1837.0,1838.0,1852.0,1634201.0,1131.4149169921875
2009-11-24,1860.0,1833.0,1850.0,1833.0,1738208.0,1119.807861328125
