Date,High,Low,Open,Close,Volume,Adj Close
2014-04-03,297.9599914550781,186.88400268554688,285.0,283.0,86797556,283.0
2014-04-04,293.0,271.2309875488281,287.0,290.75,8106044,290.75
2014-04-07,291.0,262.5,291.0,264.0,4457955,264.0
2014-04-08,285.89801025390625,237.5,269.75,250.0,10865575,250.0
2014-04-09,268.0,244.0,245.0,259.0,3049255,259.0
2014-04-10,265.0929870605469,250.0,257.5,250.0,927790,250.0
2014-04-11,247.5,230.0,247.5,234.75,5832246,234.75
2014-04-14,235.0,225.0,235.0,225.0,5597793,225.0
2014-04-15,231.0,225.0,231.0,225.0,3314602,225.0
2014-04-16,233.69000244140625,226.0,230.0,227.0,323878,227.0
2014-04-17,233.0,228.50999450683594,229.25,233.0,1024551,233.0
2014-04-22,246.0,232.25,240.0,240.0,664519,240.0
2014-04-23,255.0,238.89999389648438,250.0,240.0,734347,240.0
2014-04-24,244.0,235.0,240.25,235.0,1387908,235.0
2014-04-25,239.75,233.0,235.0,233.0,1364367,233.0
2014-04-28,236.75,224.0,235.0,225.0,954626,225.0
2014-04-29,232.97500610351562,218.0,230.0,222.5,2048578,222.5
2014-04-30,226.0,214.75,225.0,214.75,2486480,214.75
2014-05-01,221.0,208.5,218.0,219.0,2781118,219.0
2014-05-02,227.75,215.0,222.0,220.0,3002698,220.0
2014-05-06,234.75,224.0,224.0,230.0,258954,230.0
2014-05-07,235.0,228.25,234.25,228.25,337074,228.25
2014-05-08,233.75,225.0,225.75,227.25,129958,227.25
2014-05-09,227.69000244140625,215.0,222.5,215.0,977990,215.0
2014-05-12,220.75,212.5,220.0,214.0,860539,214.0
2014-05-13,219.5,213.0,213.0,217.0,1270475,217.0
2014-05-14,239.25,225.5,231.0,229.75,828510,229.75
2014-05-15,232.0,223.48800659179688,227.5,223.5,192148,223.5
2014-05-16,226.0,209.5,225.0,211.75,1203925,211.75
2014-05-19,214.0,195.25,209.0,197.0,4196669,197.0
2014-05-20,201.75,196.0,196.0,199.75,1434572,199.75
2014-05-21,209.25,199.25,200.5,204.75,1555989,204.75
2014-05-22,222.0,207.0,207.5,218.75,555902,218.75
2014-05-23,227.75,216.0,216.25,223.0,130366,223.0
2014-05-27,226.5,220.0,222.75,222.0,248661,222.0
2014-05-28,231.5,222.0,222.0,228.75,255052,228.75
2014-05-29,241.5,227.39999389648438,228.0,239.0,302352,239.0
2014-05-30,248.25,238.0,240.0,245.0,451508,245.0
2014-06-02,254.5,242.75,242.75,250.0,299177,250.0
2014-06-03,254.0,245.25,246.0,247.5,621379,247.5
2014-06-04,246.60000610351562,242.0,245.75,242.25,322138,242.25
2014-06-05,249.5,229.25,239.5,237.0,230983,237.0
2014-06-06,247.0,227.5,231.5,246.0,179438,246.0
2014-06-09,249.25,235.0,241.75,249.0,135179,249.0
2014-06-10,247.5,232.5,247.5,232.75,266209,232.75
2014-06-11,243.0,230.5,230.5,234.25,209873,234.25
2014-06-12,240.0,230.25,230.25,238.0,224174,238.0
2014-06-13,240.0,227.9499969482422,231.5,235.0,439584,235.0
2014-06-16,238.5,231.5,238.5,235.75,128084,235.75
2014-06-17,249.0,230.5,230.5,244.0,413576,244.0
2014-06-18,248.75,238.75,241.0,240.25,448588,240.25
2014-06-19,249.0,237.75,237.75,249.0,537072,249.0
2014-06-20,260.75,241.75,244.0,255.75,7149524,255.75
2014-06-23,259.0,242.89999389648438,259.0,242.89999389648438,467150,242.89999389648438
2014-06-24,245.3000030517578,228.0,244.60000610351562,234.60000610351562,535401,234.60000610351562
2014-06-25,241.60000610351562,235.0,236.0,241.60000610351562,116921,241.60000610351562
2014-06-26,251.0,238.27999877929688,241.3000030517578,247.0,183552,247.0
2014-06-27,257.0,245.5,245.5,252.1999969482422,276082,252.1999969482422
2014-06-30,256.3999938964844,252.0,254.6999969482422,255.0,219063,255.0
2014-07-01,255.89999389648438,250.3000030517578,255.0,250.3000030517578,572313,250.3000030517578
2014-07-02,254.89999389648438,250.0,250.0,254.5,143488,254.5
2014-07-03,265.0,253.89999389648438,255.0,260.29998779296875,253992,260.29998779296875
2014-07-04,264.20001220703125,258.6000061035156,262.0,264.20001220703125,79987,264.20001220703125
2014-07-07,264.6000061035156,255.1999969482422,264.6000061035156,257.79998779296875,45218,257.79998779296875
2014-07-08,257.0,237.39999389648438,255.10000610351562,239.60000610351562,211107,239.60000610351562
2014-07-09,249.6999969482422,237.0,237.0,249.0,230252,249.0
2014-07-10,245.5,236.10000610351562,245.0,240.0,227086,240.0
2014-07-11,243.6999969482422,237.8000030517578,237.89999389648438,242.1999969482422,92317,242.1999969482422
2014-07-14,242.0,219.6999969482422,242.0,223.0,455081,223.0
2014-07-15,225.3000030517578,215.6999969482422,225.3000030517578,219.1999969482422,214889,219.1999969482422
2014-07-16,220.5,214.60000610351562,217.1999969482422,214.60000610351562,231046,214.60000610351562
2014-07-17,219.39999389648438,211.89999389648438,214.39999389648438,217.0,243192,217.0
2014-07-18,217.10000610351562,212.60000610351562,214.0,214.39999389648438,89959,214.39999389648438
2014-07-21,220.0,212.3000030517578,212.3000030517578,217.6999969482422,131145,217.6999969482422
2014-07-22,222.0,216.60000610351562,219.89999389648438,217.0,174618,217.0
2014-07-23,222.10000610351562,215.0,219.10000610351562,220.1999969482422,86409,220.1999969482422
2014-07-24,218.83999633789062,215.0,218.0,216.6999969482422,84456,216.6999969482422
2014-07-25,220.0,214.6999969482422,215.6999969482422,219.0,106168,219.0
2014-07-28,219.0,213.1999969482422,214.1999969482422,215.39999389648438,60334,215.39999389648438
2014-07-29,219.39999389648438,210.0,215.0,210.0,169040,210.0
2014-07-30,216.3000030517578,202.60000610351562,210.0,205.5,282117,205.5
2014-07-31,205.5,200.10000610351562,203.3000030517578,201.5,166360,201.5
2014-08-01,217.0,201.5,206.3000030517578,215.5,314138,215.5
2014-08-04,216.10000610351562,210.3000030517578,215.60000610351562,215.0,106256,215.0
