Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,221.75,209.5,219.0,221.0,3752071.0,135.04600524902344
2009-01-05,233.0,225.0,226.5,230.0,10337979.0,140.54563903808594
2009-01-06,244.0,228.75,233.0,238.75,14353649.0,145.8925018310547
2009-01-07,258.75,237.0,240.75,244.0,28505349.0,149.1005859375
2009-01-08,248.0,228.75,248.0,234.5,22561572.0,143.29541015625
2009-01-09,247.5,233.0,237.0,244.75,19268885.0,149.55886840820312
2009-01-12,245.5,236.75,245.5,239.25,9138314.0,146.197998046875
2009-01-13,240.5,232.5,239.75,238.0,8159924.0,145.43417358398438
2009-01-14,241.5,225.0,241.5,227.75,14518703.0,139.17071533203125
2009-01-15,230.75,220.5,227.25,223.5,7567075.0,136.5736846923828
2009-01-16,234.0,225.8000030517578,226.25,226.25,7758585.0,138.2541046142578
2009-01-19,231.5,222.25,229.25,225.75,5911927.0,137.94857788085938
2009-01-20,232.75,216.8000030517578,228.5,218.5,10823908.0,133.51832580566406
2009-01-21,228.0,214.75,216.25,222.25,11621443.0,135.809814453125
2009-01-22,228.5,220.25,224.75,221.75,7561144.0,135.5043182373047
2009-01-23,225.3000030517578,217.75,221.5,223.5,6790853.0,136.5736846923828
2009-01-26,227.5,219.25,225.0,225.75,6096393.0,137.94857788085938
2009-01-27,227.75,221.75,227.25,226.25,6676829.0,138.2541046142578
2009-01-28,242.0,228.5,228.5,237.5,14693619.0,145.12860107421875
2009-01-29,237.5,227.75,236.25,232.0,9165170.0,141.76776123046875
2009-01-30,235.25,228.25,232.0,231.0,8408813.0,141.1566619873047
2009-02-02,233.25,223.25,230.0,226.5,7198846.0,138.40689086914062
2009-02-03,236.5,223.0,227.75,234.0,11925406.0,142.98988342285156
2009-02-04,249.5,234.5,234.5,247.0,18078012.0,150.9337615966797
2009-02-05,256.0,241.8000030517578,244.25,255.25,17072686.0,155.97508239746094
2009-02-06,273.0,255.0,257.0,269.5,22957078.0,164.68280029296875
2009-02-09,272.75,258.79998779296875,269.75,267.5,16755694.0,163.4606475830078
2009-02-10,266.5,258.0,265.0,260.25,19758034.0,159.03041076660156
2009-02-11,265.0,253.0,257.75,263.5,9720472.0,161.01638793945312
2009-02-12,262.0,254.0,260.0,261.25,9919919.0,159.6414794921875
2009-02-13,270.0,262.5,262.75,266.25,12226530.0,162.69680786132812
2009-02-16,266.75,258.5,264.0,259.75,7784290.0,158.72488403320312
2009-02-17,258.25,249.75,258.25,251.25,15746610.0,153.53077697753906
2009-02-18,256.25,246.5,253.5,253.5,21641464.0,154.90573120117188
2009-02-19,257.0,246.5,255.5,252.0,10249784.0,153.9891357421875
2009-02-20,253.5,245.75,248.0,251.75,9553290.0,153.83633422851562
2009-02-23,258.0,248.25,254.75,249.25,10255105.0,152.30865478515625
2009-02-24,251.75,241.25,248.5,251.0,10721563.0,153.37802124023438
2009-02-25,257.75,247.0,255.0,251.75,15018921.0,153.83633422851562
2009-02-26,266.0,251.0,252.0,264.5,23457936.0,161.62744140625
2009-02-27,262.25,250.25,260.25,261.0,18597844.0,159.48867797851562
2009-03-02,255.5,247.5,253.5,249.0,15563453.0,152.1559295654297
2009-03-03,251.25,240.0,251.0,242.0,22978969.0,147.87840270996094
2009-03-04,251.8000030517578,239.8000030517578,246.0,249.75,16845324.0,152.61419677734375
2009-03-05,250.3000030517578,238.25,248.25,239.25,16529714.0,146.197998046875
2009-03-06,243.8000030517578,235.25,238.0,239.0,15171941.0,146.0452423095703
2009-03-09,240.75,230.75,240.25,237.25,12452086.0,144.97584533691406
2009-03-10,248.0,230.0,235.75,247.25,14191832.0,151.08656311035156
2009-03-11,249.5,242.75,248.0,244.75,9580633.0,149.55886840820312
2009-03-12,247.75,232.75,244.75,240.5,18213159.0,146.9617919921875
2009-03-13,250.0,242.5,245.0,246.25,14870681.0,150.47547912597656
2009-03-16,261.5,248.25,251.0,259.5,14577972.0,158.57211303710938
2009-03-17,263.5,254.0,257.25,262.0,11304083.0,160.0997772216797
2009-03-18,268.75,258.5,265.0,260.5,17168370.0,159.1831817626953
2009-03-19,280.79998779296875,262.0,263.75,275.5,27171492.0,168.34918212890625
2009-03-20,276.5,268.0,270.0,273.25,14108066.0,166.97430419921875
2009-03-23,278.0,268.5,275.0,276.25,8736138.0,168.80751037597656
2009-03-24,284.0,272.25,281.75,276.75,10587797.0,169.113037109375
2009-03-25,280.25,268.0,276.75,270.0,11294698.0,164.98834228515625
2009-03-26,273.0,263.0,267.0,268.75,11550881.0,164.22450256347656
2009-03-27,268.75,262.5,267.25,265.25,11828182.0,162.08578491210938
2009-03-30,270.0,258.0,261.0,264.5,15071890.0,161.62744140625
2009-03-31,297.5,283.25,290.0,296.0,37184135.0,180.87608337402344
2009-04-01,310.0,292.25,295.0,309.25,20140095.0,188.97274780273438
2009-04-02,329.75,314.75,319.0,328.5,18934779.0,200.73582458496094
2009-04-03,329.5,312.0,329.5,316.0,19656795.0,193.09744262695312
2009-04-06,321.75,306.0,319.0,310.5,11162051.0,189.736572265625
2009-04-07,314.0,305.0,313.0,306.0,9936910.0,186.9867401123047
2009-04-08,311.5,300.5,300.5,310.25,10372065.0,189.58383178710938
2009-04-09,318.5,306.25,316.0,317.25,7235266.0,193.8612823486328
2009-04-14,320.0,308.0,318.0,309.75,9954585.0,189.27822875976562
2009-04-15,312.0,305.25,308.0,308.0,7868573.0,188.20892333984375
2009-04-16,326.29998779296875,306.75,308.5,324.25,12836017.0,198.13876342773438
2009-04-17,329.0,320.0,324.25,326.25,9112196.0,199.36093139648438
2009-04-20,330.5,308.0,326.0,310.5,11769170.0,189.736572265625
2009-04-21,315.25,305.25,312.0,311.5,7184025.0,190.34767150878906
2009-04-22,330.5,313.75,315.0,329.25,13733976.0,201.19410705566406
2009-04-23,351.75,326.25,329.0,340.0,23156140.0,207.76309204101562
2009-04-24,344.25,334.25,342.25,341.75,13597359.0,208.83242797851562
2009-04-27,339.0,327.0,337.0,337.25,8868597.0,206.08265686035156
2009-04-28,337.0,325.0,331.5,329.5,8978761.0,201.34686279296875
2009-04-29,344.5,331.25,331.25,342.0,9984421.0,208.98521423339844
2009-04-30,347.75,332.75,343.75,338.75,12885150.0,206.999267578125
2009-05-01,344.75,333.25,337.75,340.0,3762982.0,207.76309204101562
2009-05-05,353.25,339.0,345.0,346.25,11497546.0,211.58229064941406
2009-05-06,353.75,345.0,346.75,351.0,11586293.0,214.48483276367188
2009-05-07,363.0,332.25,355.5,335.75,17149225.0,205.16607666015625
2009-05-08,343.75,330.0,340.75,331.0,10221787.0,202.26348876953125
2009-05-11,333.0,324.75,329.5,329.0,7310134.0,201.04132080078125
2009-05-12,337.75,325.5,328.0,333.0,10214513.0,203.485595703125
2009-05-13,336.25,318.0,336.0,320.5,9591171.0,195.8472442626953
2009-05-14,324.75,312.0,321.5,321.75,9816537.0,196.61106872558594
2009-05-15,329.75,321.5,326.0,327.5,7706661.0,200.12472534179688
2009-05-18,341.5,321.0,321.0,339.25,8737652.0,207.30482482910156
2009-05-19,335.0,300.75,330.0,311.75,33656816.0,190.5004119873047
2009-05-20,314.5,294.0,312.0,294.0,28026412.0,179.65394592285156
2009-05-21,294.0,283.5,291.5,285.75,14762979.0,174.61265563964844
2009-05-22,290.25,283.0,286.0,284.25,13366027.0,173.69602966308594
2009-05-26,289.5,279.0,284.5,287.75,13325965.0,175.8347930908203
2009-05-27,287.0,279.5,281.0,286.0,10912780.0,180.73226928710938
2009-05-28,288.0,278.25,281.75,279.25,10885316.0,176.46670532226562
2009-05-29,288.5,282.25,285.0,283.5,10887829.0,179.15240478515625
2009-06-01,289.25,284.0,289.25,285.25,6115756.0,180.25833129882812
2009-06-02,291.0,283.0,287.0,287.0,14328434.0,181.3641815185547
2009-06-03,288.29998779296875,284.0,286.5,286.5,13222705.0,181.0482177734375
2009-06-04,293.0,284.5,286.75,287.25,8314911.0,181.52215576171875
2009-06-05,290.5,283.5,290.5,286.0,9580791.0,180.73226928710938
2009-06-08,285.75,281.0,285.0,283.75,4595372.0,179.31039428710938
2009-06-09,285.75,277.75,281.25,283.0,9646277.0,178.83645629882812
2009-06-10,295.5,284.0,285.0,292.75,14247424.0,184.99778747558594
2009-06-11,297.25,288.0,293.5,293.0,8463572.0,185.15579223632812
2009-06-12,294.0,289.25,291.25,290.5,7144744.0,183.57594299316406
2009-06-15,293.0,286.5,287.5,290.25,11053548.0,183.41798400878906
2009-06-16,293.5,288.0,292.25,292.25,8020465.0,184.68182373046875
2009-06-17,292.25,285.0,290.75,287.25,8472258.0,181.52215576171875
2009-06-18,292.0,281.5,289.5,290.5,9990205.0,183.57594299316406
2009-06-19,297.25,291.0,292.5,295.25,13381807.0,186.5775909423828
2009-06-22,296.5,292.0,296.5,293.75,6862275.0,185.62969970703125
2009-06-23,296.25,291.5,293.0,292.25,7223820.0,184.68182373046875
2009-06-24,298.0,291.0,293.25,296.5,14188487.0,187.3675079345703
2009-06-25,303.25,293.75,297.0,303.0,12132641.0,191.47506713867188
2009-06-26,313.25,304.25,304.25,312.0,9896792.0,197.16249084472656
2009-06-29,314.5,307.25,311.75,309.5,7614957.0,195.58265686035156
2009-06-30,312.5,302.25,311.25,306.0,9736113.0,193.37083435058594
2009-07-01,321.25,308.25,315.25,317.5,26634049.0,200.6381072998047
2009-07-02,320.75,314.79998779296875,317.5,315.5,8668982.0,199.37420654296875
2009-07-03,316.75,312.25,316.75,313.75,3335790.0,198.26834106445312
2009-07-06,316.25,307.75,312.0,314.25,5161351.0,198.5842742919922
2009-07-07,315.75,307.0,315.0,308.25,6413727.0,194.79270935058594
2009-07-08,308.25,303.75,305.5,306.25,6942623.0,193.5288543701172
2009-07-09,316.5,312.0,312.0,313.75,6905988.0,198.26834106445312
2009-07-10,320.0,311.5,311.5,319.0,7508552.0,201.58599853515625
2009-07-13,325.75,315.0,317.0,323.25,10400014.0,204.2716827392578
2009-07-14,327.0,317.75,324.25,320.75,9227436.0,202.6918182373047
2009-07-15,323.75,318.25,322.25,322.0,7552262.0,203.48175048828125
2009-07-16,327.75,320.0,321.0,326.25,7122627.0,206.16749572753906
2009-07-17,329.5,324.25,327.75,328.25,6676642.0,207.43136596679688
2009-07-20,333.25,325.75,329.0,330.0,4346787.0,208.53720092773438
2009-07-21,340.0,323.25,336.0,326.0,12385478.0,206.00946044921875
2009-07-22,334.25,323.0,327.5,333.0,6783854.0,210.43299865722656
2009-07-23,338.5,330.75,334.75,338.25,6929722.0,213.7506561279297
2009-07-24,340.0,335.25,337.0,339.0,5350607.0,214.22462463378906
2009-07-27,342.0,326.5,342.0,328.5,8176301.0,207.58935546875
2009-07-28,333.5,327.75,327.75,333.5,8649397.0,210.74896240234375
2009-07-29,336.75,330.25,331.5,336.0,4711703.0,212.3287811279297
2009-07-30,343.5,336.0,337.0,341.0,5488599.0,215.48843383789062
2009-07-31,346.5,339.25,339.25,345.75,5241856.0,218.49009704589844
2009-08-03,350.79998779296875,339.5,345.0,349.0,9446993.0,220.5438995361328
2009-08-04,349.70001220703125,341.79998779296875,349.70001220703125,343.6000061035156,8109254.0,217.13148498535156
2009-08-05,347.5,336.70001220703125,343.70001220703125,341.0,6645533.0,215.48843383789062
2009-08-06,346.5,340.6000061035156,344.0,345.79998779296875,5749351.0,218.52169799804688
2009-08-07,349.6000061035156,342.29998779296875,344.0,349.5,7626492.0,220.8598175048828
2009-08-10,348.70001220703125,337.1000061035156,347.5,341.0,10278226.0,215.48843383789062
2009-08-11,342.0,327.20001220703125,339.79998779296875,329.6000061035156,7701531.0,208.28443908691406
2009-08-12,332.6000061035156,325.20001220703125,328.3999938964844,332.5,7289323.0,210.1170196533203
2009-08-13,340.3999938964844,329.0,331.79998779296875,335.0,6188804.0,211.6968994140625
2009-08-14,338.3999938964844,330.8999938964844,334.1000061035156,332.1000061035156,4533936.0,209.86424255371094
2009-08-17,332.79998779296875,325.29998779296875,332.1000061035156,326.1000061035156,6336364.0,206.07272338867188
2009-08-18,330.29998779296875,324.79998779296875,326.79998779296875,328.29998779296875,4275295.0,207.46290588378906
2009-08-19,333.29998779296875,325.29998779296875,326.6000061035156,332.8999938964844,6731861.0,210.36981201171875
2009-08-20,337.5,334.0,336.29998779296875,336.5,6867620.0,212.64479064941406
2009-08-21,345.29998779296875,333.6000061035156,334.79998779296875,342.8999938964844,7209224.0,216.68910217285156
2009-08-24,344.70001220703125,336.5,343.5,338.6000061035156,7352544.0,213.97178649902344
2009-08-25,343.70001220703125,333.70001220703125,336.8999938964844,342.29998779296875,6687772.0,216.30996704101562
2009-08-26,344.8999938964844,338.3999938964844,340.5,339.8999938964844,4354959.0,214.79331970214844
2009-08-27,343.5,338.0,341.29998779296875,340.0,5132056.0,214.85653686523438
2009-08-28,343.8999938964844,337.70001220703125,341.0,339.79998779296875,5139076.0,214.7301483154297
2009-09-01,344.1000061035156,336.29998779296875,338.5,337.79998779296875,7086716.0,213.46624755859375
2009-09-02,342.8999938964844,334.1000061035156,342.0,339.3999938964844,5605393.0,214.47738647460938
2009-09-03,347.0,340.1000061035156,343.5,341.20001220703125,7615814.0,215.61485290527344
2009-09-04,348.5,340.20001220703125,340.3999938964844,347.29998779296875,5501160.0,219.46958923339844
2009-09-07,356.79998779296875,347.29998779296875,348.29998779296875,354.70001220703125,4941182.0,224.14593505859375
2009-09-08,374.1000061035156,357.1000061035156,357.3999938964844,366.3999938964844,20113988.0,231.53952026367188
2009-09-09,369.20001220703125,362.29998779296875,364.6000061035156,364.1000061035156,9344444.0,230.08612060546875
2009-09-10,366.0,351.70001220703125,364.29998779296875,358.5,13141115.0,226.54725646972656
2009-09-11,371.79998779296875,360.0,364.0,370.0,12181192.0,233.8144989013672
2009-09-14,374.8999938964844,366.0,366.0,373.5,6068080.0,236.0261688232422
2009-09-15,375.0,366.0,374.8999938964844,367.5,10514330.0,232.23464965820312
2009-09-16,373.79998779296875,368.0,370.0,373.79998779296875,7151243.0,236.21578979492188
2009-09-17,376.29998779296875,369.20001220703125,375.0,370.29998779296875,8507565.0,234.0040283203125
2009-09-18,371.20001220703125,365.8999938964844,369.8999938964844,368.5,7603490.0,232.86656188964844
2009-09-21,376.1000061035156,365.8999938964844,366.29998779296875,374.3999938964844,5954666.0,236.59494018554688
