Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,218.25,208.0,211.75,216.0,853134.0,153.20863342285156
2009-01-05,223.0,213.25,220.0,216.0,936173.0,153.20863342285156
2009-01-06,218.0,203.25,218.0,205.25,1728861.0,145.58367919921875
2009-01-07,215.5,206.75,207.25,212.0,5072183.0,150.37142944335938
2009-01-08,210.75,198.0,210.75,203.5,1465032.0,144.34239196777344
2009-01-09,214.5,201.25,201.75,209.75,1689041.0,148.77552795410156
2009-01-12,209.25,202.75,207.0,203.5,1037829.0,144.34239196777344
2009-01-13,206.0,191.5,206.0,194.5,1217235.0,137.95867919921875
2009-01-14,211.25,194.25,199.25,196.0,1751269.0,139.0226287841797
2009-01-15,197.5,181.0,197.5,184.5,2100803.0,130.86573791503906
2009-01-16,190.75,184.5,186.5,186.25,1578012.0,132.10696411132812
2009-01-19,192.5,186.5,190.75,187.5,970249.0,132.99359130859375
2009-01-20,197.0,172.0,172.0,184.25,1393727.0,130.68838500976562
2009-01-21,195.0,180.25,184.0,190.0,3278714.0,134.7668914794922
2009-01-22,199.5,191.5,191.5,193.0,1079201.0,136.89476013183594
2009-01-23,195.25,188.0,194.75,192.75,1295185.0,136.7174072265625
2009-01-26,205.75,192.0,193.8000030517578,205.75,2260270.0,145.93833923339844
2009-01-27,206.75,194.0,204.25,197.25,1579551.0,139.9092559814453
2009-01-28,202.75,186.75,198.5,199.5,4435648.0,141.5052032470703
2009-01-29,196.25,189.25,195.25,191.25,1805461.0,135.65350341796875
2009-01-30,194.0,179.75,188.0,183.25,3670348.0,129.97909545898438
2009-02-02,186.0,174.75,184.0,175.5,1619418.0,124.48202514648438
2009-02-03,183.5,175.0,179.25,181.5,3080517.0,128.73780822753906
2009-02-04,182.8000030517578,178.0,182.75,179.0,4000298.0,126.96455383300781
2009-02-05,180.0,170.8000030517578,176.75,175.0,2353893.0,124.12732696533203
2009-02-06,178.25,171.5,178.25,173.25,4734929.0,122.88611602783203
2009-02-09,175.75,170.0,174.0,173.5,1248974.0,123.06343841552734
2009-02-10,176.0,167.0,172.75,168.75,1557974.0,119.69426727294922
2009-02-11,167.25,163.75,165.5,167.0,1499539.0,118.45297241210938
2009-02-12,167.25,160.25,167.25,163.75,1619439.0,116.14774322509766
2009-02-13,170.25,159.5,166.0,163.0,2003380.0,115.61577606201172
2009-02-16,157.0,143.25,157.0,146.75,2636988.0,104.08964538574219
2009-02-17,147.75,133.0,146.25,135.0,1383592.0,95.75538635253906
2009-02-18,141.75,132.75,135.75,138.25,1587050.0,98.06062316894531
2009-02-19,141.25,135.25,139.25,138.25,2747137.0,98.06062316894531
2009-02-20,139.25,133.5,133.5,137.25,2307997.0,97.351318359375
2009-02-23,143.75,133.5,140.0,138.75,2333031.0,98.415283203125
2009-02-24,136.25,123.75,135.25,125.75,3544200.0,89.19436645507812
2009-02-25,133.75,126.25,127.75,128.75,2359349.0,91.32228088378906
2009-02-26,139.25,125.0,125.0,136.5,4422510.0,96.81934356689453
2009-02-27,136.0,119.5,135.5,123.5,3147075.0,87.59847259521484
2009-03-02,130.0,119.75,119.75,126.0,3017195.0,89.3717041015625
2009-03-03,131.25,118.25,126.0,122.75,2038030.0,87.06648254394531
2009-03-04,128.5,122.0,124.75,126.75,1298470.0,89.9036636352539
2009-03-05,129.75,123.0,125.5,124.0,1839480.0,87.9531021118164
2009-03-06,128.0,121.5,124.5,125.5,1868879.0,89.01704406738281
2009-03-09,127.0,119.0,126.0,120.75,1776311.0,85.64787292480469
2009-03-10,160.25,119.75,119.75,151.5,2736816.0,107.4588394165039
2009-03-11,154.25,146.25,150.75,152.25,3282424.0,107.99082946777344
2009-03-12,156.5,148.0,152.25,154.5,1984432.0,109.58671569824219
2009-03-13,166.25,156.5,156.5,164.5,1928416.0,116.67971801757812
2009-03-16,177.0,167.0,174.3000030517578,170.25,4700922.0,120.75819396972656
2009-03-17,170.0,154.0,167.75,158.25,2603369.0,112.2465591430664
2009-03-18,163.5,155.75,159.5,157.75,1473594.0,111.89196014404297
2009-03-19,164.0,153.5,160.0,156.0,2727923.0,110.65068817138672
2009-03-20,165.0,156.0,156.0,162.25,5696289.0,115.08380126953125
2009-03-23,170.75,161.5,166.0,161.5,3556582.0,114.55183410644531
2009-03-24,172.25,163.0,163.0,167.0,4946989.0,118.45297241210938
2009-03-25,166.5,156.5,164.75,159.75,4078853.0,113.31053924560547
2009-03-26,171.25,158.25,158.25,167.5,1110852.0,118.80760192871094
2009-03-27,171.75,159.0,171.75,159.75,1244690.0,113.31053924560547
2009-03-30,156.75,143.5,155.5,149.75,2400499.0,106.2175521850586
2009-03-31,153.75,147.75,149.5,148.0,2165467.0,104.97628784179688
2009-04-01,158.0,144.75,145.5,157.5,1779079.0,111.71463012695312
2009-04-02,166.0,160.0,163.75,163.25,2582417.0,115.79308319091797
2009-04-03,169.75,159.5,159.75,166.75,1426401.0,118.27565002441406
2009-04-06,177.75,167.0,167.0,167.0,4034472.0,118.45297241210938
2009-04-07,169.0,160.0,168.25,163.0,1664812.0,115.61577606201172
2009-04-08,158.5,149.25,156.0,156.0,3615622.0,110.65068817138672
2009-04-09,163.75,155.0,156.75,160.5,3680052.0,113.84249877929688
2009-04-14,167.0,160.5,163.25,163.5,2565303.0,115.97042083740234
2009-04-15,163.75,150.0,163.75,153.75,2984247.0,109.05476379394531
2009-04-16,157.5,150.0,154.25,154.25,1766938.0,109.409423828125
2009-04-17,162.5,154.25,157.5,158.75,6404502.0,112.60124206542969
2009-04-20,162.75,153.5,160.0,155.25,4556716.0,110.11870574951172
2009-04-21,158.25,150.5,150.5,155.0,2736191.0,109.94140625
2009-04-22,157.5,149.0,149.0,157.0,1313051.0,114.6851806640625
