Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,285.25,279.75,279.75,283.0,5115993.0,189.16197204589844
2009-01-05,287.25,278.5,287.25,279.25,6877062.0,186.6553497314453
2009-01-06,283.75,276.25,279.5,281.75,9780175.0,188.32640075683594
2009-01-07,284.25,278.25,281.75,281.75,8168652.0,188.32640075683594
2009-01-08,281.5,269.0,281.5,277.75,9805297.0,185.65274047851562
2009-01-09,285.75,275.75,276.5,281.5,8124014.0,188.15933227539062
2009-01-12,282.75,273.5,280.0,275.5,5384652.0,184.14881896972656
2009-01-13,277.75,270.5,274.25,274.0,7537232.0,183.1461944580078
2009-01-14,276.5,265.5,276.5,268.5,10096752.0,179.4698944091797
2009-01-15,269.5,261.75,267.5,267.0,7772506.0,178.46726989746094
2009-01-16,277.75,270.25,271.0,272.0,8007830.0,181.8093719482422
2009-01-19,281.75,271.0,278.0,274.75,6987048.0,183.6474609375
2009-01-20,279.0,267.5,275.5,270.0,10130494.0,180.47251892089844
2009-01-21,274.5,261.75,267.0,264.25,14663859.0,176.6291046142578
2009-01-22,268.0,251.5,266.0,252.75,28035743.0,168.94232177734375
2009-01-23,260.79998779296875,252.25,252.25,258.5,18003952.0,172.7857208251953
2009-01-26,257.25,251.75,255.0,255.0,11634839.0,170.4462890625
2009-01-27,261.5,253.25,254.25,260.75,10116196.0,174.28965759277344
2009-01-28,268.0,259.75,262.0,267.25,9057564.0,178.63436889648438
2009-01-29,269.29998779296875,264.25,266.25,268.5,12175213.0,179.4698944091797
2009-01-30,270.75,265.25,268.5,270.75,15958233.0,180.9738311767578
2009-02-02,269.25,258.5,267.75,259.75,10489703.0,173.6212615966797
2009-02-03,263.5,258.29998779296875,261.0,262.0,9940089.0,175.1251678466797
2009-02-04,266.5,260.5,264.5,263.25,9115007.0,175.960693359375
2009-02-05,267.75,257.79998779296875,258.0,263.0,8775410.0,175.79360961914062
2009-02-06,265.25,259.75,265.25,262.75,9023396.0,175.62648010253906
2009-02-09,262.75,257.25,261.25,258.5,9033363.0,172.7857208251953
2009-02-10,261.25,254.8000030517578,257.0,255.0,9867225.0,170.4462890625
2009-02-11,258.5,251.75,253.5,257.5,8079441.0,172.1173095703125
2009-02-12,257.5,252.75,256.25,256.5,7512321.0,171.4488983154297
2009-02-13,261.5,254.5,258.25,258.75,5862697.0,172.95285034179688
2009-02-16,258.75,255.25,257.0,256.25,3644980.0,171.28176879882812
2009-02-17,259.29998779296875,251.75,255.0,256.25,12903103.0,171.28176879882812
2009-02-18,264.0,255.5,256.5,262.75,13633722.0,175.62648010253906
2009-02-19,275.75,263.0,263.25,273.25,14201260.0,182.64486694335938
2009-02-20,271.29998779296875,265.5,269.75,267.75,9630707.0,178.9685516357422
2009-02-23,270.5,259.5,269.25,260.0,9988707.0,173.78836059570312
2009-02-24,261.5,253.5,259.5,256.25,8514393.0,171.28176879882812
2009-02-25,263.0,256.0,258.0,263.0,9016395.0,175.79360961914062
2009-02-26,270.75,261.75,264.0,263.5,12887599.0,176.12782287597656
2009-02-27,264.5,252.0,260.5,258.25,14341435.0,172.61862182617188
2009-03-02,257.0,250.75,254.25,251.25,13514508.0,167.93968200683594
2009-03-03,253.0,239.8000030517578,252.25,243.25,17208704.0,162.5924072265625
2009-03-04,246.0,237.25,244.5,241.25,12606118.0,161.25555419921875
2009-03-05,246.75,237.75,240.0,239.25,10118121.0,159.91871643066406
2009-03-06,242.75,235.75,239.25,239.75,7207699.0,160.25294494628906
2009-03-09,243.3000030517578,236.5,242.0,237.75,8325258.0,158.91610717773438
2009-03-10,251.75,236.0,237.0,251.5,9961071.0,168.10682678222656
2009-03-11,255.0,244.5,252.0,245.75,13489240.0,164.263427734375
2009-03-12,257.75,239.0,242.5,255.5,13404617.0,170.78045654296875
2009-03-13,258.75,251.25,256.0,251.75,7643299.0,168.27392578125
2009-03-16,260.0,254.75,256.25,257.5,7329838.0,172.1173095703125
2009-03-17,258.25,252.75,256.0,256.0,6437766.0,171.11468505859375
2009-03-18,258.5,248.0,258.0,250.0,8429331.0,167.1042022705078
2009-03-19,253.75,238.5,252.25,239.0,18301106.0,159.75160217285156
2009-03-20,244.75,239.0,240.0,243.5,17514783.0,162.7594757080078
2009-03-23,248.75,243.5,244.25,248.5,7005574.0,166.10154724121094
2009-03-24,253.75,246.5,251.25,252.75,10368132.0,168.94232177734375
2009-03-25,255.0,251.0,252.75,252.75,7801382.0,168.94232177734375
2009-03-26,254.75,250.25,254.25,252.75,8410162.0,168.94232177734375
2009-03-27,254.25,246.0,252.25,247.5,10779319.0,165.4331512451172
2009-03-30,251.25,243.0,245.75,246.0,5804263.0,164.43051147460938
2009-03-31,256.25,248.25,249.5,255.5,7343396.0,170.78045654296875
2009-04-01,256.5,249.5,253.75,254.25,8624680.0,169.9449462890625
2009-04-02,272.0,256.0,256.0,272.0,15294622.0,181.8093719482422
2009-04-03,272.5,257.5,272.0,259.25,11746436.0,173.28704833984375
2009-04-06,264.25,253.5,259.75,256.25,5241409.0,171.28176879882812
2009-04-07,261.25,251.5,259.25,255.75,5261656.0,170.9475555419922
