Date,High,Low,Open,Close,Volume,Adj Close
2010-07-21,180.0,155.0,180.0,167.0,52348101.0,167.0
2010-07-22,166.0,158.0,165.0,159.0,16695799.0,159.0
2010-07-23,160.0,155.0,160.0,159.0,12336872.0,159.0
2010-07-26,164.0,159.25,159.25,164.0,2383035.0,164.0
2010-07-27,169.0,164.0,165.0,166.0,6778517.0,166.0
2010-07-28,167.25,165.25,167.0,166.0,3436405.0,166.0
2010-07-29,169.0,164.0,168.5,165.0,2527079.0,165.0
2010-07-30,167.0,161.5,165.25,167.0,5667942.0,167.0
2010-08-02,167.75,166.25,167.0,167.0,1044979.0,167.0
2010-08-03,167.25,164.25,167.25,165.0,3371641.0,165.0
2010-08-04,165.25,160.0,165.25,161.5,3161479.0,161.5
2010-08-05,163.0,148.0,162.0,155.0,5422817.0,155.0
2010-08-06,156.0,153.5,155.0,155.0,2503818.0,155.0
2010-08-09,158.0,156.0,156.0,158.0,792206.0,158.0
2010-08-10,157.0,154.5,157.0,155.0,1572018.0,155.0
2010-08-11,158.5,153.5,158.5,154.5,2662498.0,154.5
2010-08-12,154.5,140.0,154.5,148.25,4287501.0,148.25
2010-08-13,150.0,147.75,149.0,150.0,833900.0,150.0
2010-08-16,150.0,146.0,150.0,147.75,726303.0,147.75
2010-08-17,149.0,146.0,147.0,148.0,391657.0,148.0
2010-08-18,149.0,142.0,149.0,142.75,2606779.0,142.75
2010-08-19,143.0,137.25,143.0,137.25,2788658.0,137.25
2010-08-20,138.75,133.25,137.0,134.0,1661695.0,134.0
2010-08-23,136.75,132.25,132.25,134.5,1110320.0,134.5
2010-08-24,135.5,132.0,132.0,135.0,691382.0,135.0
2010-08-25,139.25,133.75,133.75,138.75,3498610.0,138.75
2010-08-26,145.5,135.75,135.75,143.5,2329626.0,143.5
2010-08-27,145.0,140.5,140.75,144.0,676294.0,144.0
2010-08-31,145.5,141.5,144.0,142.0,2317484.0,142.0
2010-09-01,146.0,140.75,142.25,144.75,2869190.0,144.75
2010-09-02,151.0,144.0,144.25,149.5,7079784.0,149.5
2010-09-03,157.0,149.5,150.0,157.0,3768463.0,157.0
2010-09-06,162.0,155.0,159.0,157.0,1791794.0,157.0
2010-09-07,155.25,145.0,155.25,146.0,4767958.0,146.0
2010-09-08,144.5,139.0,143.5,144.5,2814287.0,144.5
2010-09-09,147.5,143.0,143.0,147.5,3257367.0,147.5
2010-09-10,156.0,145.0,147.0,150.0,3753745.0,150.0
2010-09-13,153.0,150.0,152.0,150.25,2126532.0,150.25
2010-09-14,151.75,148.0,151.75,150.0,1813748.0,150.0
2010-09-15,150.5,147.0,147.0,150.0,1744359.0,150.0
2010-09-16,149.25,145.5,149.25,148.0,1145653.0,148.0
2010-09-17,150.0,144.0,146.25,147.5,30303169.0,147.5
2010-09-20,145.0,141.10000610351562,145.0,143.0,2682508.0,143.0
2010-09-21,143.5,141.10000610351562,143.0,142.8000030517578,701533.0,142.8000030517578
2010-09-22,143.0,139.3000030517578,143.0,140.0,2550564.0,140.0
2010-09-23,140.5,137.60000610351562,138.8000030517578,140.0,1229502.0,140.0
2010-09-24,139.6999969482422,137.0,139.0,138.0,1246286.0,138.0
2010-09-27,139.6199951171875,135.8000030517578,139.0,136.8000030517578,888145.0,136.8000030517578
2010-09-28,136.3000030517578,133.1999969482422,136.3000030517578,134.6999969482422,909607.0,134.6999969482422
2010-09-29,134.60000610351562,133.60000610351562,134.0,134.0,405745.0,134.0
2010-09-30,133.6999969482422,129.1999969482422,133.6999969482422,131.10000610351562,1101033.0,131.10000610351562
2010-10-01,134.1999969482422,130.1999969482422,131.10000610351562,134.1999969482422,1013032.0,134.1999969482422
2010-10-04,134.03500366210938,131.10000610351562,133.10000610351562,131.5,969574.0,131.5
2010-10-05,132.8000030517578,131.10000610351562,131.5,132.1999969482422,273858.0,132.1999969482422
2010-10-06,132.39999389648438,131.5,132.0,131.89999389648438,274071.0,131.89999389648438
2010-10-07,132.10000610351562,129.86000061035156,132.0,131.0,672423.0,131.0
2010-10-08,131.7449951171875,128.1999969482422,131.6999969482422,129.39999389648438,550404.0,129.39999389648438
2010-10-11,130.10000610351562,127.80000305175781,127.80000305175781,128.89999389648438,526342.0,128.89999389648438
2010-10-12,130.0,127.0,127.5,128.39999389648438,598665.0,128.39999389648438
2010-10-13,130.16799926757812,126.5999984741211,126.5999984741211,127.0,1535000.0,127.0
2010-10-14,128.0,120.9000015258789,127.0,123.5,1827315.0,123.5
2010-10-15,125.5,123.0999984741211,123.0999984741211,125.0,1054539.0,125.0
2010-10-18,132.38900756835938,124.69999694824219,125.19999694824219,131.39999389648438,1423204.0,131.39999389648438
2010-10-19,138.60000610351562,129.27000427246094,133.0,135.6999969482422,1086243.0,135.6999969482422
2010-10-20,140.3000030517578,134.4530029296875,136.0,139.1999969482422,570355.0,139.1999969482422
2010-10-21,139.10000610351562,135.43499755859375,137.6999969482422,136.6999969482422,329127.0,136.6999969482422
2010-10-22,138.6999969482422,135.89999389648438,137.3000030517578,137.1999969482422,216031.0,137.1999969482422
2010-10-25,145.63999938964844,138.5,138.5,145.1999969482422,936906.0,145.1999969482422
2010-10-26,148.3000030517578,144.39999389648438,144.39999389648438,148.0,994562.0,148.0
2010-10-27,151.0,146.0,146.89999389648438,147.6999969482422,907934.0,147.6999969482422
2010-10-28,148.32899475097656,143.10000610351562,146.3000030517578,144.5,288588.0,144.5
2010-10-29,144.1999969482422,139.0,142.89999389648438,139.6999969482422,859054.0,139.6999969482422
2010-11-01,142.0,138.89999389648438,140.6999969482422,141.0,1894580.0,141.0
2010-11-02,144.0,139.89999389648438,141.6999969482422,142.0,569178.0,142.0
2010-11-03,143.6999969482422,140.1999969482422,143.6999969482422,141.60000610351562,311436.0,141.60000610351562
2010-11-04,146.5,141.10000610351562,144.1999969482422,144.0,251499.0,144.0
2010-11-05,143.75999450683594,140.0,143.39999389648438,142.0,419407.0,142.0
2010-11-08,141.6999969482422,139.0,141.6999969482422,140.10000610351562,246597.0,140.10000610351562
2010-11-09,145.0,140.0,140.0,141.0,338855.0,141.0
2010-11-10,142.89999389648438,137.5,141.0,138.60000610351562,137784.0,138.60000610351562
2010-11-11,142.0,131.60000610351562,141.60000610351562,132.5,523231.0,132.5
2010-11-12,136.0,130.10000610351562,130.1999969482422,132.60000610351562,175637.0,132.60000610351562
2010-11-15,135.1999969482422,130.5,130.5,134.39999389648438,147166.0,134.39999389648438
2010-11-16,135.6999969482422,131.625,133.0,132.1999969482422,312148.0,132.1999969482422
2010-11-17,137.5,129.0,130.3000030517578,136.0,700780.0,136.0
2010-11-18,140.1999969482422,135.0,136.39999389648438,139.39999389648438,299361.0,139.39999389648438
2010-11-19,142.5,135.1999969482422,138.6999969482422,139.0,347131.0,139.0
2010-11-22,142.5,139.3000030517578,140.39999389648438,141.0,116559.0,141.0
2010-11-23,142.39999389648438,138.8000030517578,139.0,138.8000030517578,201676.0,138.8000030517578
2010-11-24,140.1999969482422,138.5,139.5,139.3000030517578,457812.0,139.3000030517578
2010-11-25,147.0,139.0,139.0,145.0,914492.0,145.0
2010-11-26,156.0,146.0,148.5,151.0,1825921.0,151.0
2010-11-29,153.6999969482422,148.60000610351562,150.0,149.5,484928.0,149.5
2010-11-30,150.8000030517578,148.0,150.6999969482422,148.1999969482422,1161485.0,148.1999969482422
2010-12-01,155.5,147.5,151.39999389648438,154.1999969482422,511468.0,154.1999969482422
2010-12-02,155.6999969482422,149.39999389648438,155.6999969482422,153.39999389648438,284727.0,153.39999389648438
2010-12-03,170.0,152.6999969482422,155.1999969482422,170.0,1051438.0,170.0
2010-12-06,173.0,163.6999969482422,170.0,164.6999969482422,1177692.0,164.6999969482422
2010-12-07,169.10000610351562,161.39999389648438,169.10000610351562,164.3000030517578,745858.0,164.3000030517578
2010-12-08,165.0,158.39999389648438,162.6999969482422,158.39999389648438,462842.0,158.39999389648438
2010-12-09,162.25,152.10000610351562,160.8000030517578,155.0,358191.0,155.0
2010-12-10,163.3000030517578,153.1999969482422,153.39999389648438,161.0,597391.0,161.0
2010-12-13,164.39999389648438,160.6999969482422,164.39999389648438,162.0,412053.0,162.0
2010-12-14,161.89999389648438,159.3000030517578,161.89999389648438,160.0,231192.0,160.0
2010-12-15,158.468994140625,153.3000030517578,157.0,156.10000610351562,247097.0,156.10000610351562
2010-12-16,153.5,153.5,153.5,153.5,299000.0,153.5
2010-12-17,160.6999969482422,155.0399932861328,159.10000610351562,160.6999969482422,988338.0,160.6999969482422
2010-12-20,162.39999389648438,159.10000610351562,162.39999389648438,160.0,1114788.0,160.0
2010-12-21,164.0,161.0,163.0,164.0,117749.0,164.0
2010-12-22,167.0,160.75100708007812,162.3000030517578,167.0,556561.0,167.0
2010-12-23,171.89999389648438,162.0780029296875,168.1999969482422,169.1999969482422,952982.0,169.1999969482422
2010-12-24,171.60899353027344,164.54600524902344,168.0,171.0,76383.0,171.0
2010-12-29,175.1999969482422,169.3000030517578,175.1999969482422,170.0,103519.0,170.0
2010-12-30,172.0,169.0,169.0,171.1999969482422,204250.0,171.1999969482422
2010-12-31,179.0,171.0,172.0,178.3000030517578,112573.0,178.3000030517578
2011-01-04,196.6999969482422,173.8000030517578,181.3000030517578,196.6999969482422,1910693.0,196.6999969482422
2011-01-05,212.39999389648438,190.5,193.10000610351562,200.0,5479678.0,200.0
2011-01-06,203.10000610351562,185.0,200.5,190.0,1291870.0,190.0
2011-01-07,192.23899841308594,185.3000030517578,191.10000610351562,186.0,1012059.0,186.0
2011-01-10,189.89999389648438,179.5,188.1999969482422,181.0,1507433.0,181.0
2011-01-11,182.60000610351562,177.5,181.0,182.60000610351562,404974.0,182.60000610351562
2011-01-12,190.5,181.1999969482422,181.1999969482422,190.0,592058.0,190.0
2011-01-13,194.89999389648438,187.29200744628906,190.0,190.0,546361.0,190.0
2011-01-14,201.0,189.89599609375,194.5,201.0,740706.0,201.0
2011-01-17,205.1999969482422,199.3000030517578,203.39999389648438,204.5,1689253.0,204.5
2011-01-18,207.0,201.0,202.10000610351562,205.1999969482422,622758.0,205.1999969482422
2011-01-19,210.3000030517578,204.5,204.5,207.5,1380043.0,207.5
2011-01-20,215.5,207.0,207.3000030517578,213.5,599932.0,213.5
2011-01-21,230.0,230.0,230.0,227.0,1433395.0,227.0
2011-01-24,246.04800415039062,226.13099670410156,230.0,239.0,2946428.0,239.0
2011-01-25,237.60000610351562,227.11000061035156,237.60000610351562,228.0,2142320.0,228.0
2011-01-26,226.6999969482422,217.5,226.39999389648438,219.89999389648438,1963787.0,219.89999389648438
2011-01-27,222.0,212.0,222.0,216.10000610351562,851490.0,216.10000610351562
2011-01-28,222.1999969482422,215.1999969482422,220.0,220.1999969482422,598292.0,220.1999969482422
2011-01-31,223.83999633789062,214.89999389648438,216.10000610351562,218.0,792602.0,218.0
2011-02-01,248.89999389648438,217.5,221.89999389648438,247.6999969482422,2534517.0,247.6999969482422
2011-02-02,249.60000610351562,238.5,245.0,247.10000610351562,1364360.0,247.10000610351562
2011-02-03,251.10000610351562,242.10000610351562,245.0,249.0,866342.0,249.0
2011-02-04,251.0,244.39999389648438,244.6999969482422,250.0,1122885.0,250.0
2011-02-07,254.0,248.9409942626953,252.89999389648438,251.0,531696.0,251.0
2011-02-08,259.5,248.0,249.8000030517578,256.29998779296875,798965.0,256.29998779296875
2011-02-09,276.79998779296875,251.9770050048828,256.29998779296875,275.0,1333220.0,275.0
2011-02-10,290.0,271.8999938964844,271.8999938964844,285.0,1704296.0,285.0
2011-02-11,265.0,235.0,261.8999938964844,255.0,19643450.0,255.0
2011-02-14,265.0,239.52499389648438,254.0,259.0,10100342.0,259.0
2011-02-15,260.0,250.44000244140625,257.29998779296875,251.10000610351562,817668.0,251.10000610351562
2011-02-16,253.85000610351562,249.39999389648438,250.14500427246094,252.0,553962.0,252.0
2011-02-17,256.70001220703125,250.5,255.23300170898438,253.89999389648438,533353.0,253.89999389648438
2011-02-18,262.20001220703125,253.43499755859375,256.0,259.29998779296875,1815403.0,259.29998779296875
2011-02-21,252.94900512695312,238.6999969482422,252.5,239.1999969482422,1868812.0,239.1999969482422
2011-02-22,240.0,223.3000030517578,240.0,224.0,1891556.0,224.0
2011-02-23,226.0,218.8000030517578,225.3000030517578,221.5,1389152.0,221.5
2011-02-24,223.60000610351562,204.10000610351562,223.60000610351562,205.0,2793651.0,205.0
2011-02-25,211.1999969482422,198.0,210.0,198.0,2677388.0,198.0
2011-02-28,207.5,188.0,199.1999969482422,201.0,2020076.0,201.0
2011-03-01,224.05999755859375,209.8000030517578,209.8000030517578,213.3000030517578,2613630.0,213.3000030517578
