Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,659.5,631.5,641.5,657.5,2073709.0,421.7102355957031
2009-01-05,665.0,648.0,665.0,655.0,4482282.0,420.1066589355469
2009-01-06,664.0,643.5,654.5,649.0,5183619.0,416.2584228515625
2009-01-07,650.0,630.0,645.5,635.0,6044025.0,407.279052734375
2009-01-08,631.0,608.0,628.0,612.0,8825060.0,392.5272216796875
2009-01-09,611.5,597.0,607.5,605.0,6863216.0,388.03753662109375
2009-01-12,607.0,592.0,605.0,597.5,3385117.0,383.22711181640625
2009-01-13,606.0,591.0,595.0,600.5,4064273.0,385.1513671875
2009-01-14,604.5,575.0,604.5,583.5,6352655.0,374.2478332519531
2009-01-15,596.0,566.5,579.0,588.5,6674954.0,377.45465087890625
2009-01-16,615.5,595.0,605.0,598.0,10042735.0,383.5478210449219
2009-01-19,633.5,610.0,615.0,625.0,7089898.0,400.8652038574219
2009-01-20,643.0,625.5,628.0,638.5,6812986.0,409.52392578125
2009-01-21,653.0,624.5,633.0,640.0,7905359.0,410.48602294921875
2009-01-22,654.5,637.0,649.0,643.0,5088249.0,412.41015625
2009-01-23,653.0,623.5,637.5,649.5,5794797.0,416.5791015625
2009-01-26,681.5,646.0,653.5,673.5,6941387.0,431.9722900390625
2009-01-27,676.0,657.0,675.5,665.5,7696424.0,426.84124755859375
2009-01-28,687.0,666.5,673.0,683.5,4794607.0,438.3862609863281
2009-01-29,686.5,655.5,677.0,668.5,6511010.0,428.7654724121094
2009-01-30,678.5,660.5,668.5,665.5,5601663.0,426.84124755859375
2009-02-02,668.5,649.0,659.0,662.0,3650493.0,424.59649658203125
2009-02-03,669.0,653.0,663.0,661.5,4315222.0,424.2757873535156
2009-02-04,684.0,664.0,668.0,677.0,5533792.0,434.21722412109375
2009-02-05,676.5,657.0,669.0,672.0,4482610.0,431.0102844238281
2009-02-06,680.5,664.5,673.0,670.5,5547289.0,430.04833984375
2009-02-09,671.0,654.0,671.0,657.0,3765362.0,421.38958740234375
2009-02-10,665.0,645.0,657.0,646.0,4577467.0,414.3342590332031
2009-02-11,657.5,638.0,638.5,654.0,3185072.0,419.4653625488281
2009-02-12,658.0,643.5,652.5,655.5,2882626.0,420.4273986816406
2009-02-13,667.5,644.5,658.0,650.0,3908469.0,416.8998718261719
2009-02-16,662.0,646.5,649.0,656.0,1753726.0,420.7481994628906
2009-02-17,654.5,636.0,650.0,640.0,3167324.0,410.48602294921875
2009-02-18,652.0,634.5,643.5,647.0,3814295.0,414.9756774902344
2009-02-19,658.5,641.0,651.5,641.0,5021642.0,411.1273498535156
2009-02-20,644.0,625.5,635.0,636.5,8278764.0,408.2411804199219
