Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,348.75,337.5,340.25,344.75,3184879.0,279.5679016113281
2009-01-05,369.5,345.5,350.0,363.0,10612561.0,294.3673095703125
2009-01-06,368.0,357.0,365.0,360.75,7003497.0,292.5427551269531
2009-01-07,362.29998779296875,343.0,362.0,350.0,9262280.0,283.82525634765625
2009-01-08,352.0,338.75,348.5,350.0,5279966.0,283.82525634765625
2009-01-09,356.0,345.5,349.25,350.0,4857090.0,283.82525634765625
2009-01-12,349.0,334.25,349.0,337.0,5638719.0,273.28314208984375
2009-01-13,343.0,328.5,336.0,341.25,7656086.0,276.7296142578125
2009-01-14,348.0,313.0,345.5,318.5,11941228.0,258.2810363769531
2009-01-15,324.25,307.0,319.75,316.0,8762155.0,256.2536315917969
2009-01-16,329.5,316.0,322.0,321.75,9409385.0,260.91644287109375
2009-01-19,335.25,314.5,329.0,321.0,5566408.0,260.30828857421875
2009-01-20,321.75,307.5,321.75,317.25,7783617.0,257.267333984375
2009-01-21,319.5,303.75,311.25,317.0,20036405.0,257.0645751953125
2009-01-22,326.5,316.5,324.5,320.0,11332797.0,259.497314453125
2009-01-23,321.75,306.0,318.75,318.75,7631089.0,258.4836730957031
2009-01-26,326.5,314.0,318.29998779296875,317.0,9596570.0,257.0645751953125
2009-01-27,320.0,313.0,317.5,318.75,8353596.0,258.4836730957031
2009-01-28,341.29998779296875,323.0,324.0,339.5,12483267.0,275.31048583984375
2009-01-29,337.75,328.5,335.75,332.75,8084357.0,269.83673095703125
2009-01-30,338.0,328.5,332.0,332.0,7497944.0,269.2286376953125
2009-02-02,331.75,316.75,329.75,321.25,6300066.0,260.5111083984375
2009-02-03,324.5,316.75,323.0,322.75,7464018.0,261.7274169921875
2009-02-04,345.0,321.0,325.0,337.5,12266383.0,273.68865966796875
2009-02-05,336.0,325.75,331.5,330.75,7657447.0,268.2148742675781
2009-02-06,336.0,325.0,334.25,333.75,10832540.0,270.647705078125
2009-02-09,334.75,320.5,333.75,321.75,9636181.0,260.91644287109375
2009-02-10,321.25,303.75,320.25,303.75,10743109.0,246.31976318359375
2009-02-11,316.79998779296875,302.0,302.25,315.5,10688657.0,255.8481903076172
2009-02-12,328.0,309.25,315.25,326.0,20605120.0,264.3629455566406
2009-02-13,334.25,323.29998779296875,328.25,328.5,9066050.0,266.3902587890625
2009-02-16,330.29998779296875,320.0,323.5,326.25,5895205.0,264.565673828125
2009-02-17,326.0,307.75,324.5,311.25,10639801.0,252.40174865722656
2009-02-18,313.5,302.0,313.5,308.5,13222184.0,250.17172241210938
2009-02-19,316.25,305.5,311.0,306.5,10857608.0,248.5498504638672
2009-02-20,304.75,293.0,303.5,294.0,10785320.0,238.41319274902344
2009-02-23,301.75,275.5,300.0,278.0,13651277.0,225.43832397460938
2009-02-24,283.25,271.5,273.75,279.5,10818609.0,226.65469360351562
2009-02-25,292.0,284.75,286.25,289.0,12711600.0,234.35855102539062
2009-02-26,297.0,286.25,290.25,290.0,11325057.0,235.1695098876953
2009-02-27,289.25,277.25,285.25,289.0,11834799.0,234.35855102539062
2009-03-02,285.0,274.0,284.25,278.75,7161419.0,226.04653930664062
2009-03-03,283.75,268.5,280.0,270.25,9041061.0,219.1536407470703
2009-03-04,285.0,272.25,277.0,284.5,7158690.0,230.70938110351562
2009-03-05,281.0,262.25,280.75,262.25,6899521.0,212.66622924804688
2009-03-06,270.25,258.5,263.75,260.5,12208513.0,211.24708557128906
2009-03-09,262.0,252.5,262.0,258.5,8457750.0,209.62522888183594
2009-03-10,278.5,257.0,259.75,277.0,15864861.0,224.62744140625
2009-03-11,286.5,270.5,275.0,283.75,12196674.0,230.10118103027344
2009-03-12,294.5,282.0,290.0,290.25,16062203.0,235.3721923828125
2009-03-13,299.0,286.25,294.25,289.0,17820055.0,234.35855102539062
2009-03-16,302.5,291.0,296.5,302.5,10632625.0,245.30612182617188
2009-03-17,308.5,298.25,301.75,308.5,13275375.0,250.17172241210938
2009-03-18,314.5,299.5,312.75,304.75,10651585.0,247.13070678710938
2009-03-19,309.75,292.5,309.0,295.5,12084889.0,239.62960815429688
2009-03-20,301.5,289.75,294.0,298.75,10565353.0,242.26513671875
2009-03-23,306.0,293.25,305.25,298.5,7543637.0,242.06236267089844
2009-03-24,310.0,300.75,305.25,309.25,8407506.0,250.77987670898438
2009-03-25,311.25,295.25,308.25,302.25,7197111.0,245.10336303710938
2009-03-26,305.0,291.75,305.0,292.75,7639224.0,237.3995361328125
2009-03-27,300.75,288.5,294.75,289.25,8368301.0,234.56126403808594
2009-03-30,287.0,279.0,286.0,279.25,6302166.0,226.45201110839844
2009-03-31,294.0,280.75,281.0,294.0,10593859.0,238.41319274902344
2009-04-01,306.25,288.5,292.75,305.5,8122519.0,247.73886108398438
2009-04-02,333.25,310.75,313.5,333.0,14675491.0,270.0393981933594
2009-04-03,338.0,325.5,334.25,329.75,11165791.0,267.4039611816406
2009-04-06,340.0,321.5,335.25,325.5,7095632.0,263.9574279785156
2009-04-07,333.0,314.5,330.0,318.5,8857855.0,258.2810363769531
2009-04-08,327.0,313.75,316.75,320.25,6480815.0,259.70013427734375
2009-04-09,326.0,311.5,313.5,323.75,7774919.0,262.538330078125
2009-04-14,326.75,317.25,322.75,320.5,7916997.0,259.9028625488281
2009-04-15,326.0,316.25,318.0,321.25,6499554.0,260.5111083984375
2009-04-16,336.25,320.25,326.0,336.25,7261985.0,272.6749572753906
2009-04-17,350.25,335.75,336.25,349.25,7314506.0,283.21710205078125
2009-04-20,348.25,327.75,347.5,330.25,7308720.0,267.80938720703125
2009-04-21,333.5,322.5,328.5,332.0,9279386.0,269.2286376953125
2009-04-22,330.5,319.5,324.0,329.0,8474266.0,273.87347412109375
2009-04-23,325.0,314.5,323.25,315.75,9352620.0,262.8437194824219
2009-04-24,328.0,312.75,315.75,327.25,10291415.0,272.4167785644531
2009-04-27,321.25,310.75,319.75,319.0,6985951.0,265.5491638183594
2009-04-28,318.5,310.5,314.0,316.5,5781038.0,263.4680480957031
2009-04-29,326.75,316.75,319.25,326.0,5571234.0,271.3762512207031
2009-04-30,342.5,326.0,328.0,338.0,7599918.0,281.36553955078125
2009-05-01,341.5,330.25,341.5,338.5,2594182.0,281.78173828125
2009-05-05,356.5,331.5,338.5,353.0,9582902.0,293.8521728515625
2009-05-06,360.5,346.75,350.0,353.0,8856784.0,293.8521728515625
2009-05-07,362.0,338.25,353.75,341.0,8570882.0,283.8628845214844
2009-05-08,342.75,326.75,341.5,331.0,9832748.0,275.5384521484375
2009-05-11,334.0,325.0,333.75,330.0,7702848.0,274.7059326171875
2009-05-12,336.79998779296875,325.75,329.0,335.0,6611268.0,278.86822509765625
2009-05-13,339.5,326.25,339.5,327.5,8265327.0,272.6249084472656
2009-05-14,338.0,325.5,328.75,337.25,6385431.0,280.7411193847656
2009-05-15,340.75,331.0,340.75,337.5,7093891.0,280.9493103027344
