Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,45.25,43.25,44.5,44.5,2770170.0,38.71088409423828
2009-01-05,46.25,44.25,45.25,45.5,8201269.0,39.580787658691406
2009-01-06,46.0099983215332,45.25,45.25,46.0,5247032.0,40.015743255615234
2009-01-07,46.5,42.25,46.5,46.0,3286660.0,40.015743255615234
2009-01-08,46.5,43.5,45.0,46.0,5307027.0,40.015743255615234
2009-01-09,47.5,43.29999923706055,45.75,43.75,15502452.0,38.05844497680664
2009-01-12,45.0,42.25,45.0,43.5,3244272.0,37.84097671508789
2009-01-13,44.0,40.5,43.0,41.0,14669067.0,35.666202545166016
2009-01-14,44.0,42.0,43.5,42.5,10055026.0,36.9710693359375
2009-01-15,43.0,40.0,43.0,40.5,3357569.0,35.23124694824219
2009-01-16,42.0,40.5,41.0,40.75,5200667.0,35.44872283935547
2009-01-19,41.75,38.5,41.5,39.5,5450251.0,34.3613395690918
2009-01-20,40.5,37.25,40.0,40.0,7558839.0,34.796295166015625
2009-01-21,40.75,38.5,40.0,40.75,7558393.0,35.44872283935547
2009-01-22,42.0,39.79999923706055,41.5,40.0,5033226.0,34.796295166015625
2009-01-23,41.5,39.5,39.5,40.75,5892120.0,35.44872283935547
2009-01-26,42.25,40.0,41.0,41.75,4469362.0,36.31863021850586
2009-01-27,42.75,41.375,41.5,42.75,4769078.0,37.18853759765625
2009-01-28,44.75,41.25,43.25,43.5,8422576.0,37.84097671508789
2009-01-29,43.75,41.0,42.5,42.5,7041461.0,36.9710693359375
2009-01-30,43.5,41.25,42.0,42.5,4725266.0,36.9710693359375
2009-02-02,42.75,40.0,41.25,40.75,3280583.0,35.44872283935547
2009-02-03,43.5,41.29999923706055,41.25,41.75,4946446.0,36.31863021850586
2009-02-04,46.0,41.79999923706055,42.25,44.5,7002345.0,38.71088409423828
2009-02-05,45.5,43.0,44.0,44.5,4274107.0,38.71088409423828
2009-02-06,48.79999923706055,44.0,44.0,47.25,8459394.0,41.103126525878906
2009-02-09,50.5,47.0,47.0,49.25,8017620.0,42.84294509887695
2009-02-10,49.75,48.25,49.5,48.75,2307970.0,42.40799331665039
2009-02-11,49.5,46.75,48.5,47.75,5420080.0,41.538082122802734
2009-02-12,49.0,46.5,47.5,47.5,4741124.0,41.32060241699219
2009-02-13,50.0,46.75,48.25,47.75,5386793.0,41.538082122802734
2009-02-16,49.5,47.040000915527344,47.5,48.25,3577844.0,41.97303771972656
2009-02-17,48.5,46.75,47.75,47.5,5697892.0,41.32060241699219
2009-02-18,47.75,45.0,47.75,45.5,7978734.0,39.580787658691406
2009-02-19,47.5,44.5,45.75,45.0,20487677.0,39.14583969116211
2009-02-20,46.0,37.25,41.0,44.25,18362411.0,38.49340057373047
2009-02-23,45.5,41.75,44.75,42.25,8138781.0,36.75358581542969
2009-02-24,42.5,40.5,41.0,42.25,7152968.0,36.75358581542969
