Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,340.5,327.75,328.0,336.5,3042167.0,207.51527404785156
2009-01-05,341.75,321.75,341.75,322.25,4702828.0,198.7275390625
2009-01-06,329.0,317.75,319.75,325.25,5443001.0,200.57757568359375
2009-01-07,334.75,319.29998779296875,327.5,322.75,6227767.0,199.0358428955078
2009-01-08,333.5,305.0,326.0,328.75,11162572.0,202.73594665527344
2009-01-09,330.0,322.25,328.25,325.25,5924744.0,200.57757568359375
2009-01-12,329.0,313.75,326.0,315.75,5418355.0,194.71908569335938
2009-01-13,323.5,313.0,317.25,315.5,5016658.0,194.56488037109375
2009-01-14,321.0,305.29998779296875,317.75,310.75,8336846.0,191.63560485839844
2009-01-15,319.29998779296875,303.0,309.25,319.0,6998067.0,196.7233123779297
2009-01-16,326.0,320.29998779296875,321.75,322.75,6506563.0,199.0358428955078
2009-01-19,333.75,323.5,326.0,332.5,4347052.0,205.04859924316406
2009-01-20,337.0,315.79998779296875,332.75,318.0,6681215.0,196.1065673828125
2009-01-21,321.25,307.75,314.25,311.25,9157480.0,191.94393920898438
2009-01-22,321.0,298.79998779296875,313.5,300.5,8256669.0,185.3145751953125
2009-01-23,310.25,299.0,299.0,302.75,6194272.0,186.7021026611328
2009-01-26,309.0,299.75,301.79998779296875,307.75,6836087.0,189.7855682373047
2009-01-27,314.5,304.5,306.25,314.25,4557261.0,193.79400634765625
2009-01-28,330.25,312.5,316.0,329.25,7389830.0,203.04432678222656
2009-01-29,331.75,321.75,327.75,328.75,6929396.0,202.73594665527344
2009-01-30,335.0,327.75,329.0,333.0,10385881.0,205.35691833496094
2009-02-02,332.25,322.75,327.5,326.25,4022492.0,201.19424438476562
2009-02-03,328.25,322.29998779296875,327.75,327.0,4094566.0,201.6567840576172
2009-02-04,335.79998779296875,327.0,328.75,331.75,3224019.0,204.58607482910156
2009-02-05,337.29998779296875,325.5,326.0,332.5,5557638.0,205.04859924316406
2009-02-06,339.29998779296875,328.0,335.0,337.75,4006688.0,208.28619384765625
2009-02-09,337.0,328.5,335.75,330.5,4663086.0,203.815185546875
2009-02-10,333.0,322.5,328.5,324.25,4094748.0,199.9608917236328
2009-02-11,327.25,318.0,321.5,326.0,3064296.0,201.04010009765625
2009-02-12,324.5,318.0,324.5,322.5,3979921.0,198.8816680908203
2009-02-13,329.75,319.0,325.0,327.75,5016682.0,202.11927795410156
2009-02-16,328.75,323.0,324.75,326.25,2610624.0,201.19424438476562
2009-02-17,326.25,315.25,325.0,316.75,5099011.0,195.3357391357422
2009-02-18,323.0,309.25,317.0,320.5,5070962.0,197.64828491210938
2009-02-19,338.75,320.75,322.75,336.75,8180471.0,207.66946411132812
2009-02-20,335.25,323.0,335.0,325.25,5297290.0,200.57757568359375
2009-02-23,329.75,313.25,327.0,314.75,4264722.0,194.10235595703125
2009-02-24,315.0,306.5,314.0,310.0,4931808.0,191.1731414794922
2009-02-25,317.5,311.25,313.25,315.75,8843799.0,194.71908569335938
2009-02-26,326.0,317.0,318.75,321.75,7408808.0,198.41917419433594
2009-02-27,318.0,307.25,315.5,315.25,4762642.0,194.4106903076172
2009-03-02,314.0,306.25,306.25,311.0,5895633.0,191.78981018066406
2009-03-03,312.5,298.5,311.0,299.0,5418630.0,184.38951110839844
2009-03-04,302.0,284.5,300.5,293.5,12584490.0,180.99774169921875
2009-03-05,306.5,289.75,292.0,300.0,7627946.0,185.0062255859375
2009-03-06,303.25,292.5,299.0,294.5,5171062.0,181.61444091796875
2009-03-09,296.0,286.75,296.0,289.75,5609266.0,178.68516540527344
2009-03-10,307.25,287.25,290.5,307.0,5983882.0,189.32302856445312
2009-03-11,309.5,299.0,308.5,302.25,4751067.0,186.3937530517578
2009-03-12,306.25,298.25,302.25,303.75,4383408.0,187.31878662109375
2009-03-13,309.75,303.25,307.75,306.75,3096667.0,189.1688690185547
2009-03-16,317.75,310.5,313.0,317.75,5432542.0,195.95240783691406
2009-03-17,320.0,310.0,317.0,316.25,4581551.0,195.02740478515625
2009-03-18,322.0,308.75,319.25,314.0,3727287.0,193.6398468017578
2009-03-19,323.75,305.75,319.0,308.5,7102595.0,190.24803161621094
2009-03-20,317.25,306.25,308.5,313.0,8382785.0,193.02313232421875
2009-03-23,323.79998779296875,313.5,318.0,320.5,5167001.0,197.64828491210938
2009-03-24,332.25,318.25,324.5,330.75,7602641.0,203.96934509277344
2009-03-25,338.0,320.5,335.5,323.5,8463039.0,199.49838256835938
2009-03-26,327.25,317.75,323.25,321.0,3837698.0,197.95663452148438
2009-03-27,325.0,306.5,321.0,308.0,9588598.0,189.93972778320312
2009-03-30,316.0,303.25,306.0,307.25,4831474.0,189.47720336914062
2009-03-31,319.5,298.75,310.25,313.0,76763577.0,193.02313232421875
2009-04-01,315.5,308.0,313.5,315.0,8169005.0,194.2565155029297
2009-04-02,325.5,318.0,319.5,324.0,7220010.0,199.80673217773438
2009-04-03,325.25,310.5,325.25,312.0,7160664.0,192.4064483642578
2009-04-06,338.0,314.0,324.75,319.25,7317915.0,196.87744140625
2009-04-07,323.75,313.5,320.0,317.25,5176874.0,195.64405822753906
2009-04-08,321.5,311.75,315.5,318.25,5316527.0,196.26072692871094
2009-04-09,319.0,307.0,318.25,310.0,6744165.0,191.1731414794922
2009-04-14,311.0,301.25,311.0,303.25,4850964.0,187.01043701171875
2009-04-15,308.0,301.5,301.75,307.0,3284686.0,189.32302856445312
2009-04-16,313.0,304.25,310.0,311.25,4666690.0,191.94393920898438
2009-04-17,314.75,308.5,312.0,311.5,8953598.0,192.09811401367188
2009-04-20,313.5,304.5,308.5,306.25,5985970.0,188.86053466796875
