Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,947.5,882.0,889.0,937.5,761973.0,681.5454711914062
2009-01-05,960.0,941.5,946.5,950.5,1956380.0,690.9962158203125
2009-01-06,985.5,947.0,959.0,971.5,1637089.0,706.2628173828125
2009-01-07,986.5,966.0,977.5,981.0,1467839.0,713.1690063476562
2009-01-08,977.0,937.5,977.0,960.0,1834867.0,697.902587890625
2009-01-09,969.0,935.0,969.0,949.0,1105064.0,689.9056396484375
2009-01-12,960.0,938.5,953.0,943.5,726440.0,685.9072265625
2009-01-13,953.0,925.5,936.5,938.0,1204558.0,681.9088134765625
2009-01-14,948.5,873.0,948.5,884.0,1905534.0,642.65185546875
2009-01-15,906.0,876.5,880.5,888.0,1367250.0,645.559814453125
2009-01-16,905.0,885.5,904.5,889.5,2861512.0,646.6503295898438
2009-01-19,924.0,891.5,909.0,905.5,1003860.0,658.281982421875
2009-01-20,898.0,861.0,888.5,881.5,2786241.0,640.8343505859375
2009-01-21,875.0,838.0,868.0,849.5,2897565.0,617.571044921875
2009-01-22,872.0,846.5,863.5,850.0,1439716.0,617.934326171875
2009-01-23,846.5,815.5,845.0,829.5,820744.0,603.0313720703125
2009-01-26,849.0,806.5,828.0,839.0,2098501.0,609.937744140625
2009-01-27,847.0,825.5,847.0,846.0,1392673.0,615.0265502929688
2009-01-28,883.0,848.5,858.0,880.0,1413820.0,639.7440185546875
2009-01-29,887.5,863.5,870.5,873.5,2279193.0,635.0185546875
2009-01-30,890.0,849.5,874.5,856.5,2152745.0,622.6598510742188
2009-02-02,854.0,824.5,854.0,836.0,1172638.0,607.7567749023438
2009-02-03,856.5,827.5,838.5,844.5,1134232.0,613.9361572265625
2009-02-04,875.0,852.5,853.0,861.5,1547167.0,626.2947387695312
2009-02-05,865.0,826.5,843.5,863.0,1089117.0,627.38525390625
2009-02-06,874.0,850.5,873.0,867.0,1587010.0,630.2931518554688
2009-02-09,875.0,852.0,862.5,865.5,1639349.0,629.202880859375
2009-02-10,865.0,843.5,860.0,848.5,1442969.0,616.843994140625
2009-02-11,857.5,836.5,842.5,856.5,1050866.0,622.6598510742188
2009-02-12,866.0,837.0,852.0,861.5,1551753.0,626.2947387695312
2009-02-13,883.5,851.0,873.0,874.0,1557429.0,635.3820190429688
2009-02-16,874.5,863.5,867.5,866.5,494514.0,629.9296875
2009-02-17,865.0,844.5,857.0,857.5,1208600.0,623.3869018554688
2009-02-18,879.0,853.0,863.0,864.5,1505235.0,628.4757080078125
2009-02-19,880.0,848.5,869.5,866.0,1768979.0,629.5662841796875
2009-02-20,863.0,837.5,854.5,843.5,1009510.0,613.2092895507812
2009-02-23,860.5,813.0,855.0,819.5,1503227.0,595.7615966796875
2009-02-24,812.5,788.5,807.5,802.0,2211464.0,583.0394287109375
2009-02-25,835.5,799.5,816.0,810.5,1531693.0,589.21875
2009-02-26,833.5,800.0,813.5,829.0,1432107.0,602.6678466796875
2009-02-27,835.0,805.0,818.0,832.0,1501986.0,604.8488159179688
2009-03-02,822.0,788.0,810.0,805.5,1238826.0,585.5836791992188
2009-03-03,811.0,756.5,806.5,767.0,2160069.0,557.5950927734375
2009-03-04,784.5,759.5,774.5,784.5,2738505.0,570.3171997070312
2009-03-05,789.5,755.5,778.0,770.0,2156358.0,559.7760009765625
2009-03-06,771.5,753.0,771.5,758.5,1110328.0,551.4156494140625
2009-03-09,769.5,747.0,761.0,767.5,1520068.0,557.9585571289062
2009-03-10,778.5,739.0,764.0,777.0,1977391.0,564.8648681640625
2009-03-11,798.0,761.0,779.5,783.5,1718975.0,569.5902099609375
2009-03-12,800.0,765.0,783.0,795.0,1557966.0,577.9505004882812
2009-03-13,819.0,793.0,807.5,800.5,1051904.0,581.9488525390625
2009-03-16,824.5,806.5,810.0,815.0,1342522.0,592.490234375
2009-03-17,819.5,795.5,808.0,811.5,1337403.0,589.9458618164062
2009-03-18,842.0,771.0,824.0,792.0,1681245.0,575.76953125
2009-03-19,802.5,764.5,801.5,769.0,1683371.0,559.0490112304688
2009-03-20,783.0,756.0,766.0,781.0,3577825.0,567.7727661132812
2009-03-23,833.5,783.5,786.5,829.5,1988046.0,603.0313720703125
2009-03-24,842.0,815.0,842.0,821.5,1866281.0,597.215576171875
2009-03-25,772.5,692.5,772.5,703.5,6708776.0,511.4317626953125
2009-03-26,713.0,686.0,707.5,692.5,3200238.0,503.434814453125
2009-03-27,710.0,685.0,695.5,687.0,2993058.0,499.43646240234375
2009-03-30,686.5,664.0,675.0,665.0,2064430.0,483.4429626464844
2009-03-31,672.5,653.0,672.5,669.0,2714099.0,486.350830078125
2009-04-01,666.0,646.5,661.0,662.0,2274774.0,488.93585205078125
2009-04-02,685.5,664.0,675.0,672.0,3848000.0,496.32159423828125
2009-04-03,693.5,666.5,671.5,689.0,3216488.0,508.87725830078125
2009-04-06,711.0,669.0,698.5,673.0,2019121.0,497.0602111816406
2009-04-07,695.5,663.5,677.0,681.0,2107021.0,502.9687805175781
2009-04-08,680.0,663.0,669.0,672.0,2391744.0,496.32159423828125
2009-04-09,678.5,658.0,677.0,671.0,2107849.0,495.5828857421875
2009-04-14,681.0,662.0,678.5,673.5,2537706.0,497.4293212890625
2009-04-15,676.5,660.5,663.5,670.0,1825065.0,494.8443603515625
2009-04-16,694.0,669.0,670.0,694.0,2148022.0,512.5702514648438
2009-04-17,721.0,691.5,695.0,720.0,2685012.0,531.7730102539062
2009-04-20,723.5,704.0,721.5,711.0,2353069.0,525.1259155273438
2009-04-21,716.0,685.5,707.0,708.5,2217862.0,523.2794799804688
2009-04-22,723.5,705.5,711.0,721.5,1945269.0,532.8809814453125
2009-04-23,737.0,714.0,717.5,724.5,1684645.0,535.0966186523438
2009-04-24,755.0,729.5,730.0,745.5,2659525.0,550.6067504882812
2009-04-27,742.5,724.5,740.5,733.5,1687070.0,541.7437744140625
2009-04-28,728.5,708.5,727.5,711.5,1198328.0,525.4952392578125
2009-04-29,726.5,710.5,711.0,725.5,1697984.0,535.835205078125
2009-04-30,742.5,719.0,729.0,733.5,2419164.0,541.7437744140625
2009-05-01,741.0,728.0,737.0,731.0,588086.0,539.8974609375
2009-05-05,749.0,733.5,749.0,737.0,2746840.0,544.3289184570312
2009-05-06,737.5,721.5,733.0,725.0,2050950.0,535.4659423828125
2009-05-07,761.5,722.5,725.0,744.0,4834691.0,549.4989013671875
2009-05-08,754.5,735.5,754.5,738.0,2601982.0,545.0674438476562
2009-05-11,745.0,723.5,735.5,735.5,1343911.0,543.2210083007812
2009-05-12,747.0,732.0,733.0,737.0,1077923.0,544.3289184570312
2009-05-13,740.5,703.0,736.5,705.5,2473970.0,521.0637817382812
2009-05-14,733.0,696.0,701.5,726.0,2318981.0,536.2046508789062
2009-05-15,737.5,718.5,734.5,730.0,1445951.0,539.15869140625
2009-05-18,748.5,719.0,719.0,747.0,1545849.0,551.7147216796875
2009-05-19,757.0,740.0,752.0,754.5,1836318.0,557.25390625
2009-05-20,770.5,753.0,753.0,766.0,2377115.0,565.7476196289062
2009-05-21,762.5,743.0,760.0,745.5,966387.0,550.6067504882812
2009-05-22,748.5,733.5,743.5,741.5,981816.0,547.6524658203125
2009-05-26,748.0,722.0,741.0,742.0,1054836.0,548.0216064453125
2009-05-27,752.5,732.5,743.0,736.5,1849060.0,543.9595336914062
2009-05-28,731.0,715.0,726.5,719.0,2692455.0,531.0345458984375
2009-05-29,727.0,717.0,724.0,722.0,2160840.0,533.2501220703125
2009-06-01,748.5,725.0,748.5,728.5,1279275.0,538.0509643554688
2009-06-02,744.0,720.5,740.5,727.5,2758920.0,537.3123168945312
2009-06-03,730.5,720.0,728.0,726.5,1965639.0,536.5738525390625
2009-06-04,734.5,722.0,724.5,723.0,1728546.0,533.98876953125
2009-06-05,741.0,722.0,725.0,732.0,1170404.0,540.6358642578125
2009-06-08,730.0,713.5,730.0,719.5,1601589.0,531.4038696289062
2009-06-09,725.0,711.5,717.0,717.0,1784261.0,529.5574951171875
2009-06-10,731.5,708.0,720.5,712.0,1859801.0,525.8644409179688
