Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,450.0,438.75,450.0,447.0,2274930.0,366.72283935546875
2009-01-05,467.29998779296875,445.75,448.0,464.5,7372232.0,381.0799255371094
2009-01-06,498.0,458.5,464.75,492.5,8327796.0,404.0513610839844
2009-01-07,492.75,469.75,490.25,474.75,6749541.0,389.4891662597656
2009-01-08,479.0,466.75,475.5,474.75,4122260.0,389.4891662597656
2009-01-09,486.5,476.0,480.25,477.75,6320914.0,391.9503479003906
2009-01-12,480.0,469.75,478.75,478.5,2929625.0,392.565673828125
2009-01-13,485.79998779296875,469.25,475.0,478.0,4753374.0,392.1553649902344
2009-01-14,482.5,458.25,480.25,465.75,4957085.0,382.10546875
2009-01-15,477.75,462.25,462.75,470.0,4160869.0,385.5921936035156
2009-01-16,477.5,466.25,474.75,469.0,3439331.0,384.7717590332031
2009-01-19,489.75,474.25,478.75,487.25,5066659.0,399.7441711425781
2009-01-20,500.0,484.0,490.5,498.0,5296818.0,408.5636291503906
2009-01-21,492.75,478.5,492.75,487.0,6220454.0,399.53912353515625
2009-01-22,496.5,477.25,495.5,479.75,6539094.0,393.59112548828125
2009-01-23,491.5,466.79998779296875,479.25,470.75,7748673.0,386.20745849609375
2009-01-26,482.25,466.75,474.29998779296875,482.0,5549635.0,395.4370422363281
2009-01-27,488.25,480.5,483.75,487.25,4446893.0,399.7441711425781
2009-01-28,503.5,493.25,494.5,501.0,4074664.0,411.0248718261719
2009-01-29,525.0,476.25,504.5,481.25,15132387.0,394.82171630859375
2009-01-30,503.0,480.25,485.0,498.5,7248265.0,408.9738464355469
2009-02-02,503.0,483.79998779296875,495.75,488.25,4962076.0,400.5646057128906
2009-02-03,497.79998779296875,483.5,490.75,495.5,4716782.0,406.51263427734375
2009-02-04,517.5,492.0,499.75,513.0,8378706.0,420.8697204589844
2009-02-05,533.5,495.5,507.0,520.0,7210467.0,426.6125793457031
2009-02-06,527.0,505.0,527.0,516.0,4144462.0,423.3309326171875
2009-02-09,516.5,504.5,515.0,511.0,4867360.0,419.2288818359375
2009-02-10,517.0,506.0,508.5,508.5,2416530.0,417.17791748046875
2009-02-11,517.0,503.0,507.5,513.0,4939157.0,420.8697204589844
2009-02-12,552.0,519.5,520.0,550.5,9210972.0,451.6350402832031
2009-02-13,560.0,545.0,547.5,552.5,6735349.0,453.27587890625
2009-02-16,556.0,543.5,549.5,548.0,1754223.0,449.583984375
2009-02-17,548.0,535.0,546.0,544.5,5760163.0,446.7126770019531
2009-02-18,557.5,529.0,548.0,533.0,5571410.0,437.2779846191406
2009-02-19,538.5,518.5,538.0,525.0,4815943.0,430.7145690917969
2009-02-20,523.0,509.5,522.0,514.0,4166994.0,421.69012451171875
2009-02-23,531.5,511.5,518.0,518.5,3180924.0,425.3819580078125
2009-02-24,527.0,514.0,517.5,520.0,8197571.0,426.6125793457031
2009-02-25,523.5,512.0,522.0,521.5,5588268.0,427.84326171875
2009-02-26,528.0,509.0,523.0,513.0,3662544.0,420.8697204589844
2009-02-27,505.5,489.5,505.0,497.75,5749885.0,408.3585205078125
2009-03-02,497.75,486.5,491.0,491.25,4666702.0,403.02581787109375
2009-03-03,490.0,459.5,489.25,460.5,6277589.0,377.7982177734375
2009-03-04,466.75,448.25,466.75,460.0,5800480.0,377.38812255859375
2009-03-05,478.0,455.0,457.0,469.75,6633662.0,385.3870544433594
2009-03-06,469.75,450.0,464.75,455.0,7665032.0,373.2860107421875
2009-03-09,459.75,446.5,459.75,450.25,6324265.0,369.3891296386719
