date,closeprice
2009-1-5,4206.132
2009-1-6,4343.837
2009-1-7,4320.303
2009-1-8,4215.871
2009-1-9,4280.922
2009-1-12,4284.446
2009-1-13,4189.168
2009-1-14,4369.673
2009-1-15,4368.184
2009-1-16,4454.613
2009-1-19,4511.934
2009-1-20,4540.788
2009-1-21,4535.698
2009-1-22,4581.084
2009-1-23,4553.421
2009-2-2,4605.108
2009-2-3,4716.887
2009-2-4,4847.636
2009-2-5,4819.504
2009-2-6,5004.914
2009-2-9,5119.075
2009-2-10,5167.509
2009-2-11,5178.891
2009-2-12,5132.505
2009-2-13,5307.009
2009-2-16,5463.06
2009-2-17,5300.168
2009-2-18,5052.962
2009-2-19,5087.167
2009-2-20,5173.773
2009-2-23,5306.163
2009-2-24,5047.37
2009-2-25,5077.536
2009-2-26,4842.075
2009-2-27,4750.614
2009-3-2,4788.346
2009-3-3,4723.287
2009-3-4,5041.169
2009-3-5,5095.432
2009-3-6,5044.58
2009-3-9,4861.194
2009-3-10,4953.624
2009-3-11,4910.83
2009-3-12,4900.848
2009-3-13,4884.881
2009-3-16,4968.886
2009-3-17,5135.193
2009-3-18,5147.964
2009-3-19,5260.266
2009-3-20,5251.18
2009-3-23,5384.489
2009-3-24,5409.5
2009-3-25,5303.598
2009-3-26,5493.878
2009-3-27,5541.963
2009-3-30,5513.341
2009-3-31,5569.988
2009-4-1,5652.376
2009-4-2,5711.774
2009-4-3,5713.804
2009-4-7,5730.983
2009-4-8,5510.262
2009-4-9,5601.029
2009-4-10,5770.979
2009-4-13,5908.824
2009-4-14,5943.127
2009-4-15,5958.56
2009-4-16,5952.632
2009-4-17,5876.292
2009-4-20,6001.728
2009-4-21,5934.381
2009-4-22,5721.759
2009-4-23,5752.007
2009-4-24,5704.602
2009-4-27,5581.659
2009-4-28,5588.041
2009-4-29,5795.993
2009-4-30,5819.492
2009-5-4,6015.084
2009-5-5,6040.461
2009-5-6,6117.872
2009-5-7,6135.951
2009-5-8,6192.072
2009-5-11,6067.336
2009-5-12,6195.592
2009-5-13,6252.087
2009-5-14,6193.404
2009-5-15,6199.027
2009-5-18,6226.093
2009-5-19,6290.882
2009-5-20,6218.437
2009-5-21,6083.492
2009-5-22,6063.584
2009-5-25,6084.046
2009-5-26,6013.654
2009-5-27,6115.651
2009-6-1,6357.064
2009-6-2,6364.619
2009-6-3,6546.308
2009-6-4,6582.52
2009-6-5,6548.756
2009-6-8,6587.962
2009-6-9,6606.267
2009-6-10,6663.901
2009-6-11,6609.547
2009-6-12,6485.021
2009-6-15,6622.121
2009-6-16,6601.473
2009-6-17,6702.333
2009-6-18,6823.614
2009-6-19,6877.425
2009-6-22,6893.007
2009-6-23,6903.668
2009-6-24,6960.8
2009-6-25,6953.043
2009-6-26,6980.374
2009-6-29,7097.232
2009-6-30,7073.513
2009-7-1,7241.982
2009-7-2,7357.081
2009-7-3,7446.176
2009-7-6,7543.571
2009-7-7,7453.415
2009-7-8,7459.767
2009-7-9,7552.344
2009-7-10,7538.835
2009-7-13,7425.473
2009-7-14,7644.593
2009-7-15,7738.153
2009-7-16,7767.731
2009-7-17,7804.079
2009-7-20,7960.873
2009-7-21,7852.18
2009-7-22,8013.086
2009-7-23,8120.181
2009-7-24,8170.5
2009-7-27,8349.425
2009-7-28,8356.275
2009-7-29,7924.389
2009-7-30,8112.103
2009-7-31,8322.987
2009-8-3,8421.724
2009-8-4,8401.154
2009-8-5,8282.559
2009-8-6,8108.719
2009-8-7,7891.406
2009-8-10,7852.405
2009-8-11,7866.627
2009-8-12,7512.042
2009-8-13,7609.548
2009-8-14,7396.977
2009-8-17,6954.664
2009-8-18,7014.135
2009-8-19,6652.392
2009-8-20,6950.731
2009-8-21,7076.875
2009-8-24,7114.006
2009-8-25,6832.33
2009-8-26,6952.44
2009-8-27,6918.144
2009-8-28,6679.189
2009-8-31,6214.531
2009-9-1,6259.513
2009-9-2,6378.146
2009-9-3,6723.12
2009-9-4,6773.136
2009-9-7,6829.972
2009-9-8,6973.279
2009-9-9,7015.531
2009-9-10,6949.155
2009-9-11,7137.968
2009-9-14,7239.528
2009-9-15,7252.064
2009-9-16,7140.294
2009-9-17,7281.83
2009-9-18,7016.719
2009-9-21,7019.39
2009-9-22,6843.2
2009-9-23,6703.817
2009-9-24,6770.802
2009-9-25,6723.841
2009-9-28,6525.983
2009-9-29,6537.665
2009-9-30,6606.556
2009-10-9,6959.877
2009-10-12,6924.996
2009-10-13,7034.343
2009-10-14,7101.077
2009-10-15,7127.858
2009-10-16,7131.61
2009-10-19,7309.502
2009-10-20,7420.34
2009-10-21,7394.811
2009-10-22,7344.56
2009-10-23,7495.707
2009-10-26,7498.116
2009-10-27,7281.064
2009-10-28,7293.993
2009-10-29,7110.82
2009-10-30,7186.205
2009-11-2,7435.936
2009-11-3,7526.901
2009-11-4,7570.566
2009-11-5,7595.207
2009-11-6,7631.618
2009-11-9,7655.548
2009-11-10,7662.873
2009-11-11,7640.436
2009-11-12,7642.349
2009-11-13,7687.762
2009-11-16,7924.504
2009-11-17,7936.096
2009-11-18,7943.544
2009-11-19,7960.399
2009-11-20,7923.153
2009-11-23,7988.031
2009-11-24,7739.134
2009-11-25,7905.968
2009-11-26,7588.005
2009-11-27,7360.041
2009-11-30,7621.678
2009-12-1,7717.324
2009-12-2,7800.557
2009-12-3,7780.79
2009-12-4,7939.924
2009-12-7,7981.561
2009-12-8,7869.648
2009-12-9,7699.943
2009-12-10,7745.344
2009-12-11,7735.799
2009-12-14,7836.1
2009-12-15,7766.57
2009-12-16,7728.291
2009-12-17,7557.619
2009-12-18,7387.668
2009-12-21,7380.78
2009-12-22,7181.409
2009-12-23,7235.876
2009-12-24,7440.395
2009-12-25,7393.675
2009-12-28,7513.674
2009-12-29,7569.117
2009-12-30,7726.04
2009-12-31,7762.924
2010-1-4,7666.871
2010-1-5,7748.25
2010-1-6,7685.764
2010-1-7,7534.622
2010-1-8,7552.978
2010-1-11,7573.991
2010-1-12,7678.747
2010-1-13,7404.467
2010-1-14,7500.604
2010-1-15,7524.849
2010-1-18,7549.109
2010-1-19,7573.112
2010-1-20,7332.717
2010-1-21,7374.973
2010-1-22,7322.53
2010-1-25,7231.321
2010-1-26,7061.153
2010-1-27,6949.907
2010-1-28,6949.703
2010-1-29,6935.844
2010-2-1,6821.526
2010-2-2,6815.862
2010-2-3,7002.043
2010-2-4,6977.125
2010-2-5,6835.457
2010-2-8,6822.774
2010-2-9,6868.984
2010-2-10,6959.35
2010-2-11,6970.363
2010-2-12,7041.009
2010-2-22,7001.1
2010-2-23,6915.518
2010-2-24,7004.429
2010-2-25,7106.672
2010-2-26,7081.673
2010-3-1,7181.837
2010-3-2,7150.748
2010-3-3,7202.162
2010-3-4,7023.345
2010-3-5,7046.301
2010-3-8,7103.521
2010-3-9,7149.237
2010-3-10,7099.887
2010-3-11,7100.465
2010-3-12,7011.035
2010-3-15,6910.404
2010-3-16,6965.217
2010-3-17,7112.322
2010-3-18,7094.973
2010-3-19,7147.658
2010-3-22,7172.804
2010-3-23,7105.476
2010-3-24,7106.273
2010-3-25,7006.783
2010-3-26,7112.81
2010-3-29,7305.071
2010-3-30,7320.279
2010-3-31,7276.19
2010-4-1,7369.613
2010-4-2,7390.66
2010-4-6,7387.908
2010-4-7,7342.267
2010-4-8,7249.547
2010-4-9,7318.565
2010-4-12,7253.978
2010-4-13,7361.056
2010-4-14,7377.217
2010-4-15,7366.943
2010-4-16,7269.362
2010-4-19,6888.664
2010-4-20,6882.447
2010-4-21,7012.158
2010-4-22,6915.721
2010-4-23,6889.781
2010-4-26,6852.808
2010-4-27,6724.503
2010-4-28,6697.133
2010-4-29,6634.185
2010-4-30,6673.536
2010-5-4,6559.788
2010-5-5,6590.26
2010-5-6,6283.583
2010-5-7,6167.878
2010-5-10,6226.644
2010-5-11,6097.324
2010-5-12,6151.038
2010-5-13,6292.291
2010-5-14,6245.933
2010-5-17,5925.657
2010-5-18,6045.626
